construction,haircut,scale,risk_per_trade,growth_12m_p50,growth_12m_p05,growth_12m_p95,monthly_p50,p_dd_gt_25,p_halt_30,maxdd_p50,maxdd_p95,p_loss_12m,worst_month_p50,half_kelly
A_ema_only,0.5,0.5,0.0025,0.021699094617964265,-0.022327828409849815,0.068605390497809,0.0017905194409157943,0.0,0.0,-0.023947519129055128,-0.04409664201962342,0.214,-0.010474665225352675,4.45
A_ema_only,0.5,1.0,0.005,0.04270924287651079,-0.04535103908232718,0.14034031434566607,0.003491277623521638,0.0,0.0,-0.04765339071891467,-0.08685185180144615,0.22075,-0.020954978074225694,4.45
A_ema_only,0.5,1.5,0.0075,0.06265910208513681,-0.06961106567802111,0.21519625002002551,0.005077375886017643,0.0,0.0,-0.07106495805721358,-0.12846716136834868,0.22825,-0.03140730284238974,4.45
A_ema_only,0.5,2.0,0.01,0.08094635688104801,-0.10162292066623257,0.29319877667237715,0.006507491797104636,0.0,0.0,-0.09423205622824832,-0.16716933512098148,0.2435,-0.041802623400249594,4.45
A_ema_only,0.5,2.5,0.0125,0.09695658840789934,-0.13585833918557344,0.3740127506619828,0.007741445189311191,0.00025,0.0,-0.11700851327578349,-0.1909944197414125,0.2645,-0.05220698308368826,4.45
A_ema_only,0.5,3.0,0.015,0.1032976235227594,-0.15221670965199174,0.45687796884410403,0.008225607161208792,0.0045,0.0,-0.1395035710357112,-0.21324352232831797,0.29475,-0.06219869713446102,4.45
A_ema_only,0.5,3.5,0.0175,0.10113629081230568,-0.16792457491666957,0.5381958562650462,0.008060868447121505,0.02175,0.0005,-0.16451680694609266,-0.2348257165173779,0.326,-0.07115496678335415,4.45
A_ema_only,0.5,4.0,0.02,0.09003523732095142,-0.17903011295012083,0.6113169408030559,0.0072100366771348234,0.0625,0.004,-0.18565619875505263,-0.25477138646966974,0.3555,-0.08022763003254568,4.45
A_ema_only,0.5,4.5,0.0225,0.07946606761417829,-0.19639311527636183,0.6852664732439329,0.006392557152874234,0.12125,0.01475,-0.20264208633156855,-0.27335528036388745,0.374,-0.08785055818403209,4.45
A_ema_only,0.5,5.0,0.025,0.07405881442135742,-0.21429812437412077,0.7512561517043392,0.005971488392931379,0.20425,0.038,-0.21661213280092345,-0.2925533945036312,0.38675,-0.09442898160123658,4.45
A_ema_only,0.5,5.5,0.0275,0.04657465148886608,-0.23090967087089453,0.7278310653045397,0.003800754183070687,0.329,0.07675,-0.23206641707390768,-0.30188460777401566,0.43875,-0.10194748220909033,4.45
A_ema_only,0.5,6.0,0.03,0.04031227332046772,-0.2493700433069621,0.7820328941280561,0.0032988401439331128,0.43375,0.12675,-0.24288760250834912,-0.3050522628385494,0.4425,-0.1069119419486872,4.45
A_ema_only,0.5,6.5,0.0325,0.028792905951176007,-0.2672389332870754,0.7800898996805257,0.0023683149559772243,0.5475,0.18675,-0.254460508157839,-0.3089214526224768,0.45675,-0.1121169282456912,4.45
A_ema_only,0.5,7.0,0.035,0.015401498607301889,-0.27788782942892587,0.8000178635586686,0.0012744864191556182,0.65775,0.2625,-0.266837608313992,-0.3113923131769471,0.4815,-0.11837446187738482,4.45
A_ema_only,0.5,7.5,0.0375,0.012485924889627853,-0.2852790434314981,0.8991646826607556,0.0010345863621563645,0.73775,0.3325,-0.27712741160310955,-0.3140745577388193,0.48075,-0.12281311295097275,4.45
A_ema_only,0.5,8.0,0.04,-0.005164659967719087,-0.2927942300309708,0.9253311066480827,-0.0004314104926239626,0.82375,0.42,-0.2892379660386148,-0.3175445635274241,0.50725,-0.12849891958208132,4.45
A_ema_only,0.5,8.5,0.0425,-0.027036757846934267,-0.2982835241384578,0.8982408360510985,-0.002281474751121171,0.88675,0.51675,-0.300232317212103,-0.3218292179602619,0.538,-0.1335650993663236,4.45
A_ema_only,0.5,9.0,0.045,-0.03620647155983492,-0.30121964099213194,0.9190291271407629,-0.003068465060835246,0.9295,0.60275,-0.301423120361045,-0.32618640513278474,0.55125,-0.13725451512342624,4.45
A_ema_only,0.5,9.5,0.0475,-0.04786289185629522,-0.3015640467364844,0.9386505222376604,-0.004078844939463422,0.97075,0.68325,-0.30244456791168267,-0.3286373518560784,0.57175,-0.1419501445878522,4.45
A_ema_only,0.5,10.0,0.05,-0.05442867815436436,-0.3022353217390249,0.996938087658618,-0.004652971297903319,0.97525,0.74575,-0.3030629565562566,-0.3310213939498259,0.571,-0.14482025508763502,4.45
A_ema_only,0.5,10.5,0.0525,-0.05727637004690711,-0.3031642044516787,0.9239061142435354,-0.004903116508406025,0.9815,0.807,-0.3040954593226065,-0.3329886558809135,0.5775,-0.15011770677103176,4.45
