code,secid,strategy,tag,direction,signal_id,entry_ts,exit_ts,trading_day,entry_ref,entry_price,exit_ref,exit_price,qty,entry_atr,initial_stop,final_stop,risk_money,gross_pnl,commission,spread_cost,slippage_cost,net_pnl,net_pnl_check,R,gross_R,exit_reason,bars_held,mae_R,mfe_R,partial
TF_EMA_CROSS:SR,SRZ5,TF_EMA_CROSS:SR,TF_EMA_CROSS,LONG,2025-10-24|TF_EMA_CROSS:SR|SRZ5|TF_EMA_CROSS|1|4,2025-10-24 00:00:00+00:00,2025-10-27 00:00:00+00:00,2025-10-24,29901.0,29903.0,29486.0,29484.0,6,801.1424662784877,27499.0,27499.0,14537.709,-2490.0,89.0805,6.0,18.0,-2603.0805,-2603.0805,-0.17905713341765198,-0.1712787069819598,SIGNAL_EXIT,0,0.2208050800851771,0.1308321689476657,False
TF_EMA_CROSS:GZ,GZZ5,TF_EMA_CROSS:GZ,TF_EMA_CROSS,LONG,2025-10-24|TF_EMA_CROSS:GZ|GZZ5|TF_EMA_CROSS|1|5,2025-10-24 00:00:00+00:00,2025-10-27 00:00:00+00:00,2025-10-24,12102.0,12104.0,12005.0,12003.0,12,410.37933155948656,10872.0,10872.0,14904.624,-1164.0,72.321,12.0,36.0,-1284.321,-1284.321,-0.08616929886993459,-0.0780965692257651,SIGNAL_EXIT,0,0.18678767072554128,0.09258871609240193,False
TF_EMA_CROSS:BR,BRX5,TF_EMA_CROSS:BR,TF_EMA_CROSS,SHORT,2025-10-24|TF_EMA_CROSS:BR|BRX5|TF_EMA_CROSS|-1|6,2025-10-24 00:00:00+00:00,2025-10-27 00:00:00+00:00,2025-10-24,66.04,66.02,66.62,66.64,3,1.6062568855133583,70.84,70.84,12463.333174710071,-1477.3591799999958,84.476926215,25.47171,76.41513000001592,-1663.7229462150117,-1663.722946215012,-0.13348940631635758,-0.11853644280309975,SIGNAL_EXIT,0,0.1553236147075115,0.10218658862336215,False
TF_EMA_CROSS:BR,BRX5,TF_EMA_CROSS:BR,TF_EMA_CROSS,LONG,2025-10-28|TF_EMA_CROSS:BR|BRX5|TF_EMA_CROSS|1|9,2025-10-28 00:00:00+00:00,2025-10-30 00:00:00+00:00,2025-10-28,65.98,66.0,64.95,64.93,3,1.5799868043457026,61.26,61.26,12259.534022999986,-2623.586130000003,83.37527475750001,25.47171,76.41512999997973,-2808.8482447574825,-2808.8482447574825,-0.2291154165800944,-0.2140037398711827,ROLL,2,0.41969665489299923,0.010388531061707297,False
TF_EMA_CROSS:SR,SRZ5,TF_EMA_CROSS:SR,TF_EMA_CROSS,SHORT,2025-10-28|TF_EMA_CROSS:SR|SRZ5|TF_EMA_CROSS|-1|7,2025-10-28 00:00:00+00:00,2025-10-31 00:00:00+00:00,2025-10-28,29165.0,29163.0,30413.0,30415.0,6,791.648351025839,31538.0,31538.0,14361.488999999998,-7488.0,89.367,6.0,18.0,-7601.367,-7601.367,-0.5292882235261261,-0.5213944041596245,SIGNAL_EXIT,2,0.5702751295495893,0.08397457951609337,False
TF_EMA_CROSS:SR,SRZ5,TF_EMA_CROSS:SR,TF_EMA_CROSS,SHORT,2025-11-03|TF_EMA_CROSS:SR|SRZ5|TF_EMA_CROSS|-1|10,2025-11-03 00:00:00+00:00,2025-11-05 00:00:00+00:00,2025-11-03,29928.0,29926.0,30424.0,30426.0,6,753.4022166193511,32187.0,32187.0,13679.778000000002,-2976.0,90.528,6.0,18.0,-3090.528,-3090.528,-0.22591945571046543,-0.21754739002343457,SIGNAL_EXIT,0,0.3127243731586872,0.10570346974928978,False
TF_EMA_CROSS:BR,BRZ5,TF_EMA_CROSS:BR,TF_EMA_CROSS,LONG,2025-11-03|TF_EMA_CROSS:BR|BRZ5|TF_EMA_CROSS|1|11,2025-11-03 00:00:00+00:00,2025-11-10 00:00:00+00:00,2025-11-03,64.34,64.36,63.57,63.54999999999999,3,1.5467212390388798,59.71,59.71,12028.199952779978,-1961.321670000008,81.4521606525,25.47171,76.41512999999782,-2144.660670652506,-2144.6606706525054,-0.17830271188307176,-0.1630602814801648,SIGNAL_EXIT,3,0.3240028969670796,0.26259058316286066,False
TF_EMA_CROSS:GZ,GZZ5,TF_EMA_CROSS:GZ,TF_EMA_CROSS,SHORT,2025-10-28|TF_EMA_CROSS:GZ|GZZ5|TF_EMA_CROSS|-1|8,2025-10-28 00:00:00+00:00,2025-11-11 00:00:00+00:00,2025-10-28,11833.0,11831.0,12187.0,12189.0,12,394.9342195589451,13016.0,13016.0,14338.986,-4248.0,72.06,12.0,36.0,-4368.06,-4368.06,-0.30462823521830623,-0.2962552582170036,SIGNAL_EXIT,8,0.5791204482660071,0.021758860773000266,False
TF_EMA_CROSS:BR,BRZ5,TF_EMA_CROSS:BR,TF_EMA_CROSS,SHORT,2025-11-11|TF_EMA_CROSS:BR|BRZ5|TF_EMA_CROSS|-1|13,2025-11-11 00:00:00+00:00,2025-11-12 00:00:00+00:00,2025-11-11,63.57,63.55,64.88,64.9,3,1.4943308387250527,68.04,68.04,11619.62098852504,-3336.794009999988,81.7960287375,25.47171,76.41513000003403,-3520.4768787375338,-3520.4768787375215,-0.3029769113996216,-0.28716891999276395,SIGNAL_EXIT,0,0.2937453074735161,0.04603471236525103,False
TF_EMA_CROSS:GZ,GZZ5,TF_EMA_CROSS:GZ,TF_EMA_CROSS,LONG,2025-11-12|TF_EMA_CROSS:GZ|GZZ5|TF_EMA_CROSS|1|14,2025-11-12 00:00:00+00:00,2025-11-17 00:00:00+00:00,2025-11-12,12284.0,12286.0,11971.0,11969.0,15,313.96199849076976,11344.0,11344.0,14282.145,-4695.0,90.95625,15.0,45.0,-4845.95625,-4845.95625,-0.3393017120327514,-0.3287321337236108,SIGNAL_EXIT,2,0.35183790670098924,0.12498122655945587,False
