rank,strategy_id,family,instruments,timeframe,avg_monthly_return,median_monthly_return,min_monthly_return,profitable_month_ratio,annual_return,max_drawdown,profit_factor,sharpe,sortino,calmar,trades,walk_forward_result,holdout_result,evidence
93,LIB_212,P_XS_MOM,EQ,1d,0.009915139323463,0.0009964054124793,-0.0532048000022769,0.5,0.1204151860006113,0.1105029071113676,1.143985526711765,0.746603074036286,1.168033139782334,1.0897015214201902,249.0,(in-sample конфигурация) 2026-01..06: +9.3%,2026-07..09: +2.9%,"library {""hold"": 1, ""k"": 4, ""n"": 10}"
21,LIB_005,P_TSMOM,FUT,1d,0.0181684599748613,0.0534924450330436,-0.0965783979045227,0.7142857142857143,0.2305695208320528,0.1152556048473343,1.1487688005492025,0.8373255105905774,1.2628043698390266,2.000505928865337,139.0,(in-sample конфигурация) 2026-01..06: +6.9%,2026-07..09: +5.8%,"library {""n"": 120, ""vn"": 20}"
16,LIB_021,P_TSMOM,FUT,1d,0.022885380048787,0.0481323604326462,-0.0841602230793796,0.7142857142857143,0.2904302906910821,0.1488079183618538,1.1828560833796704,0.9811072139857356,1.4915385929744938,1.9517126097070152,139.0,(in-sample конфигурация) 2026-01..06: +8.4%,2026-07..09: +7.6%,"library {""n"": 120, ""vn"": 60}"
6,LIB_254,P_TSMOM_S,FUT,1d,0.0354183794926419,0.0339696787996217,-0.0588604561053216,0.7142857142857143,0.4494821685253267,0.157314787415089,1.3438584182074198,1.7807593207375887,2.8543038547974486,2.857214988565112,139.0,(in-sample конфигурация) 2026-01..06: +27.1%,2026-07..09: -2.3%,"library {""n"": 120, ""vn"": 20}"
9,LIB_023,P_EMA,FUT,1d,0.0330729804217381,0.0235571974189952,-0.0563516191978124,0.7272727272727273,0.3986013118654702,0.1602777170774061,1.2710750256686398,1.3445152459912288,2.119951375839159,2.4869415358153977,227.0,(in-sample конфигурация) 2026-01..06: +39.6%,2026-07..09: +4.0%,"library {""f"": 5, ""s"": 20, ""vn"": 60}"
3,LIB_284,P_TSMOM_S,FUT,1d,0.0388959410047391,0.0434463494457304,-0.0443143302109092,0.7142857142857143,0.4936146757723729,0.167264003684977,1.3560116765461685,1.7666948024552585,2.795514067335928,2.9511112068203307,139.0,(in-sample конфигурация) 2026-01..06: +25.9%,2026-07..09: +1.4%,"library {""n"": 120, ""vn"": 60}"
7,LIB_028,P_BRK,FUT,1d,0.0420428420832401,0.0358174678258365,-0.0660263696918264,0.7272727272727273,0.5067076445858338,0.1977785279523232,1.358199910420269,1.694080873820221,2.716534450092376,2.561995226842732,227.0,(in-sample конфигурация) 2026-01..06: +40.3%,2026-07..09: +6.8%,"library {""n"": 10, ""vn"": 60}"
13,LIB_012,P_BRK,FUT,1d,0.0314403403994371,0.0217629402432066,-0.0747233835281804,0.75,0.3833693119673303,0.2422512938501313,1.2584927154972765,1.293560670637072,1.996082461465691,1.582527407281885,244.0,(in-sample конфигурация) 2026-01..06: +37.1%,2026-07..09: +7.5%,"library {""n"": 10, ""vn"": 20}"
11,LIB_332,P_BRK_S,EQ,1d,0.0422388262486492,0.047441667295061,-0.0766051857208367,0.625,0.5602202218241904,0.2737824496289249,1.3040005726179986,1.4855449483884968,2.242378449375175,2.046224009550258,152.0,(in-sample конфигурация) 2026-01..06: +36.6%,2026-07..09: -2.9%,"library {""n"": 55, ""vn"": 20}"
4,LIB_362,P_BRK_S,EQ,1d,0.0451841152826091,0.0490997963352128,-0.0601176554337143,0.75,0.5992840553272368,0.3201374583877623,1.2992880639308566,1.3685988085108662,2.029391797200784,1.8719585591304404,152.0,(in-sample конфигурация) 2026-01..06: +35.7%,2026-07..09: +0.5%,"library {""n"": 55, ""vn"": 60}"
5,LIB_083,P_TSMOM,ALL,1d,0.0357574874942656,0.0198912073974497,-0.0786358981276862,0.9090909090909092,0.4526016225301571,0.3378298344323411,1.211724398202713,1.006462230380547,1.50322782006873,1.3397325410607033,219.0,(in-sample конфигурация) 2026-01..06: +37.9%,2026-07..09: +7.3%,"library {""n"": 40, ""vn"": 60}"
2,LIB_404,P_TSMOM_S,ALL,1d,0.052150871403033,0.065718071302399,-0.0917211561754811,0.8571428571428571,0.6618283248557575,0.3673787538718898,1.2773158010073846,1.3311175042207548,1.9742452466277387,1.8014877503954585,139.0,(in-sample конфигурация) 2026-01..06: +37.3%,2026-07..09: -0.8%,"library {""n"": 120, ""vn"": 60}"
