rank,strategy_id,family,instruments,annual_return,avg_monthly_return,max_drawdown,min_monthly_return,sharpe,profitable_month_ratio,walk_forward_result,holdout_result,evidence
1,LIB_404,P_TSMOM_S,ALL,0.6618283248557575,0.052150871403033046,0.3673787538718898,-0.09172115617548116,1.3311175042207548,0.8571428571428571,(in-sample конфигурация) 2026-01..06: +37.3%,2026-07..09: -0.8%,"library {""n"": 120, ""vn"": 60}"
2,LIB_362,P_BRK_S,EQ,0.5992840553272368,0.04518411528260913,0.3201374583877623,-0.06011765543371439,1.3685988085108662,0.75,(in-sample конфигурация) 2026-01..06: +35.7%,2026-07..09: +0.5%,"library {""n"": 55, ""vn"": 60}"
3,LIB_374,P_TSMOM_S,ALL,0.5665403748485561,0.04464235380042477,0.3369002296531107,-0.11647437294595875,1.2955105343565587,0.7142857142857143,(in-sample конфигурация) 2026-01..06: +37.8%,2026-07..09: -6.5%,"library {""n"": 120, ""vn"": 20}"
4,LIB_332,P_BRK_S,EQ,0.5602202218241904,0.042238826248649275,0.27378244962892495,-0.07660518572083674,1.4855449483884968,0.625,(in-sample конфигурация) 2026-01..06: +36.6%,2026-07..09: -2.9%,"library {""n"": 55, ""vn"": 20}"
5,LIB_028,P_BRK,FUT,0.5067076445858338,0.04204284208324018,0.1977785279523232,-0.0660263696918264,1.694080873820221,0.7272727272727273,(in-sample конфигурация) 2026-01..06: +40.3%,2026-07..09: +6.8%,"library {""n"": 10, ""vn"": 60}"
6,LIB_284,P_TSMOM_S,FUT,0.49361467577237295,0.03889594100473914,0.16726400368497707,-0.04431433021090925,1.7666948024552585,0.7142857142857143,(in-sample конфигурация) 2026-01..06: +25.9%,2026-07..09: +1.4%,"library {""n"": 120, ""vn"": 60}"
7,LIB_402,P_TSMOM_S,ALL,0.4800519008843472,0.037908860426978205,0.35593854024773464,-0.07893820240860805,1.0685646150672294,0.7,(in-sample конфигурация) 2026-01..06: +37.3%,2026-07..09: -0.7%,"library {""n"": 60, ""vn"": 60}"
8,LIB_092,P_BRK,ALL,0.47449843187452007,0.03937036050906913,0.3228189561050385,-0.10344717671978287,1.0305222283603312,0.7272727272727273,(in-sample конфигурация) 2026-01..06: +35.2%,2026-07..09: +6.7%,"library {""n"": 10, ""vn"": 60}"
9,LIB_084,P_TSMOM,ALL,0.4737197869928615,0.03740882444903946,0.3257995747262612,-0.07878890124675308,0.9940791838576356,0.7,(in-sample конфигурация) 2026-01..06: +35.6%,2026-07..09: +1.8%,"library {""n"": 60, ""vn"": 60}"
10,LIB_422,P_BRK_S,ALL,0.466205035202438,0.03597261074092886,0.3628342356532812,-0.0813759059747099,1.0048460720972239,0.5555555555555556,(in-sample конфигурация) 2026-01..06: +33.8%,2026-07..09: -1.4%,"library {""n"": 55, ""vn"": 60}"
