rank,strategy_id,family,instruments,profitable_month_ratio,min_monthly_return,median_monthly_return,monthly_return_std,max_drawdown,longest_losing_month_streak,walk_forward_result,holdout_result,evidence
1,LIB_083,P_TSMOM,ALL,0.9090909090909091,-0.07863589812768623,0.01989120739744976,0.07458376956938978,0.33782983443234116,1.0,(in-sample конфигурация) 2026-01..06: +37.9%,2026-07..09: +7.3%,"library {""n"": 40, ""vn"": 60}"
2,C7_WF_PANEL_SORTINO_K1,candidate,ALL/EQ,0.875,-0.011033642584310306,0.00707616584928835,0.022302943177651503,0.05407986624753337,1.0,"OOS 2026-01..06: Sharpe 2.20, +13.5%, прибыльных мес. 83%","2026-07..09: -0.7%, прибыльных мес. 67%","frozen candidate, vol-target 10%"
3,LIB_404,P_TSMOM_S,ALL,0.8571428571428571,-0.09172115617548116,0.06571807130239904,0.08316886292499866,0.3673787538718898,1.0,(in-sample конфигурация) 2026-01..06: +37.3%,2026-07..09: -0.8%,"library {""n"": 120, ""vn"": 60}"
4,LIB_362,P_BRK_S,EQ,0.75,-0.06011765543371439,0.049099796335212886,0.06535752939714759,0.3201374583877623,1.0,(in-sample конфигурация) 2026-01..06: +35.7%,2026-07..09: +0.5%,"library {""n"": 55, ""vn"": 60}"
5,LIB_012,P_BRK,FUT,0.75,-0.07472338352818042,0.021762940243206685,0.08406338148691274,0.24225129385013133,1.0,(in-sample конфигурация) 2026-01..06: +37.1%,2026-07..09: +7.5%,"library {""n"": 10, ""vn"": 20}"
6,LIB_023,P_EMA,FUT,0.7272727272727273,-0.0563516191978124,0.0235571974189952,0.0765681394113753,0.16027771707740612,2.0,(in-sample конфигурация) 2026-01..06: +39.6%,2026-07..09: +4.0%,"library {""f"": 5, ""s"": 20, ""vn"": 60}"
7,LIB_028,P_BRK,FUT,0.7272727272727273,-0.0660263696918264,0.0358174678258365,0.0794836607661499,0.1977785279523232,1.0,(in-sample конфигурация) 2026-01..06: +40.3%,2026-07..09: +6.8%,"library {""n"": 10, ""vn"": 60}"
8,LIB_389,P_BRK_L,ALL,0.7272727272727273,-0.06772185047157109,0.007296876981854439,0.03619081252037601,0.22236383650670177,3.0,(in-sample конфигурация) 2026-01..06: -0.4%,2026-07..09: +6.1%,"library {""n"": 20, ""vn"": 20}"
9,LIB_060,P_BRK,EQ,0.7272727272727273,-0.0820823484682478,0.014733852120116353,0.05185819317234254,0.3186716725176666,2.0,(in-sample конфигурация) 2026-01..06: +10.4%,2026-07..09: +2.8%,"library {""n"": 10, ""vn"": 60}"
10,LIB_092,P_BRK,ALL,0.7272727272727273,-0.10344717671978287,0.03720527677796781,0.08386835208320699,0.3228189561050385,1.0,(in-sample конфигурация) 2026-01..06: +35.2%,2026-07..09: +6.7%,"library {""n"": 10, ""vn"": 60}"
11,LIB_284,P_TSMOM_S,FUT,0.7142857142857143,-0.04431433021090925,0.04344634944573045,0.0552378655131249,0.16726400368497707,1.0,(in-sample конфигурация) 2026-01..06: +25.9%,2026-07..09: +1.4%,"library {""n"": 120, ""vn"": 60}"
12,LIB_254,P_TSMOM_S,FUT,0.7142857142857143,-0.058860456105321646,0.03396967879962176,0.06166534781151478,0.15731478741508909,1.0,(in-sample конфигурация) 2026-01..06: +27.1%,2026-07..09: -2.3%,"library {""n"": 120, ""vn"": 20}"
13,LIB_344,P_TSMOM_S,EQ,0.7142857142857143,-0.08295834821183234,0.04249480184080312,0.06783964388906012,0.344172551878728,2.0,(in-sample конфигурация) 2026-01..06: +27.0%,2026-07..09: -2.3%,"library {""n"": 120, ""vn"": 60}"
14,LIB_021,P_TSMOM,FUT,0.7142857142857143,-0.08416022307937965,0.04813236043264624,0.05879724676547162,0.1488079183618538,1.0,(in-sample конфигурация) 2026-01..06: +8.4%,2026-07..09: +7.6%,"library {""n"": 120, ""vn"": 60}"
15,LIB_005,P_TSMOM,FUT,0.7142857142857143,-0.09657839790452272,0.05349244503304362,0.06314412190045528,0.11525560484733433,1.0,(in-sample конфигурация) 2026-01..06: +6.9%,2026-07..09: +5.8%,"library {""n"": 120, ""vn"": 20}"
