rank,strategy_id,family,instruments,timeframe,avg_monthly_return,median_monthly_return,min_monthly_return,profitable_month_ratio,annual_return,max_drawdown,profit_factor,sharpe,sortino,calmar,trades,walk_forward_result,holdout_result,evidence
1,C7_WF_PANEL_SORTINO_K1,candidate,ALL/EQ,1d,0.016039724859948524,0.00707616584928835,-0.011033642584310306,0.875,0.19133778294471135,0.05407986624753337,1.412493742483714,1.7602913597801086,3.043651970891411,3.5380594705786357,169.0,"OOS 2026-01..06: Sharpe 2.20, +13.5%, прибыльных мес. 83%","2026-07..09: -0.7%, прибыльных мес. 67%","frozen candidate, vol-target 10%"
2,LIB_404,P_TSMOM_S,ALL,1d,0.052150871403033046,0.06571807130239904,-0.09172115617548116,0.8571428571428571,0.6618283248557575,0.3673787538718898,1.2773158010073846,1.3311175042207548,1.9742452466277387,1.8014877503954583,139.0,(in-sample конфигурация) 2026-01..06: +37.3%,2026-07..09: -0.8%,"library {""n"": 120, ""vn"": 60}"
3,LIB_284,P_TSMOM_S,FUT,1d,0.03889594100473914,0.04344634944573045,-0.04431433021090925,0.7142857142857143,0.49361467577237295,0.16726400368497707,1.3560116765461683,1.7666948024552585,2.795514067335928,2.9511112068203307,139.0,(in-sample конфигурация) 2026-01..06: +25.9%,2026-07..09: +1.4%,"library {""n"": 120, ""vn"": 60}"
4,LIB_362,P_BRK_S,EQ,1d,0.04518411528260913,0.049099796335212886,-0.06011765543371439,0.75,0.5992840553272368,0.3201374583877623,1.2992880639308566,1.3685988085108662,2.029391797200784,1.8719585591304404,152.0,(in-sample конфигурация) 2026-01..06: +35.7%,2026-07..09: +0.5%,"library {""n"": 55, ""vn"": 60}"
5,LIB_083,P_TSMOM,ALL,1d,0.03575748749426566,0.01989120739744976,-0.07863589812768623,0.9090909090909091,0.4526016225301571,0.33782983443234116,1.211724398202713,1.006462230380547,1.5032278200687301,1.3397325410607033,219.0,(in-sample конфигурация) 2026-01..06: +37.9%,2026-07..09: +7.3%,"library {""n"": 40, ""vn"": 60}"
6,LIB_254,P_TSMOM_S,FUT,1d,0.03541837949264196,0.03396967879962176,-0.058860456105321646,0.7142857142857143,0.44948216852532674,0.15731478741508909,1.3438584182074198,1.7807593207375887,2.8543038547974486,2.857214988565112,139.0,(in-sample конфигурация) 2026-01..06: +27.1%,2026-07..09: -2.3%,"library {""n"": 120, ""vn"": 20}"
7,LIB_028,P_BRK,FUT,1d,0.04204284208324018,0.0358174678258365,-0.0660263696918264,0.7272727272727273,0.5067076445858338,0.1977785279523232,1.3581999104202693,1.694080873820221,2.716534450092376,2.5619952268427317,227.0,(in-sample конфигурация) 2026-01..06: +40.3%,2026-07..09: +6.8%,"library {""n"": 10, ""vn"": 60}"
8,LIB_342,P_TSMOM_S,EQ,1d,0.03483647771090546,0.021949215122731403,-0.052437003469094634,0.7,0.44114534588684295,0.317685395013541,1.2660036302310729,1.1267080054934069,1.6837018180265366,1.3886233135396093,182.0,(in-sample конфигурация) 2026-01..06: +33.1%,2026-07..09: +1.3%,"library {""n"": 60, ""vn"": 60}"
9,LIB_023,P_EMA,FUT,1d,0.033072980421738146,0.0235571974189952,-0.0563516191978124,0.7272727272727273,0.3986013118654702,0.16027771707740612,1.2710750256686398,1.3445152459912288,2.119951375839159,2.4869415358153977,227.0,(in-sample конфигурация) 2026-01..06: +39.6%,2026-07..09: +4.0%,"library {""f"": 5, ""s"": 20, ""vn"": 60}"
10,LIB_344,P_TSMOM_S,EQ,1d,0.03530424679359255,0.04249480184080312,-0.08295834821183234,0.7142857142857143,0.4480337506755198,0.344172551878728,1.214912092977581,1.0419215783972542,1.494201473139648,1.301770720035188,139.0,(in-sample конфигурация) 2026-01..06: +27.0%,2026-07..09: -2.3%,"library {""n"": 120, ""vn"": 60}"
