family,test_period,selected,train_score,test_sharpe,test_return,test_days
CONTROL_RANDOM,2026-01,"CONTROL_RANDOM|{""p"": 0.1, ""seed"": 3}|1a65f901ec92",1.2311870626052661,6.215132117970272,0.007716034245625954,19
MOM_TSMOM,2026-01,"MOM_TSMOM|{""lookback"": 40}|53283cf9bfaf",-0.32266662477188546,4.579300563865762,0.018325802560822457,19
MR_RSI,2026-01,"MR_RSI|{""lo"": 5, ""n"": 2, ""trend_n"": 0}|1a65f901ec92",0.5649939833180782,-3.1529960175141465,-0.016142087481270776,19
MR_ZSCORE,2026-01,"MR_ZSCORE|{""k"": 2.0, ""n"": 10}|1a65f901ec92",1.0400238823066255,-2.89349238407801,-0.018014380091747276,19
TF_DONCHIAN,2026-01,"TF_DONCHIAN|{""n"": 40}|a7fc15b4bae1",-1.818995079767526,2.7193115419204386,0.012217869135593647,19
TF_EMA_CROSS,2026-01,"TF_EMA_CROSS|{""fast"": 5, ""slow"": 40}|53283cf9bfaf",-0.10344952825287519,4.55938546592363,0.019947456946056104,19
VOL_RANGE_EXPANSION,2026-01,"VOL_RANGE_EXPANSION|{""k"": 0.5, ""nr"": 0}|2f03dbdb7a65",-5.114167180076115,-3.7707042360633176,-0.03352124130119081,19
CONTROL_RANDOM,2026-02,"CONTROL_RANDOM|{""p"": 0.1, ""seed"": 3}|1a65f901ec92",0.8885793058483891,-4.923085492731365,-0.021146885821551088,20
MOM_TSMOM,2026-02,"MOM_TSMOM|{""lookback"": 40}|53283cf9bfaf",0.8360640260033407,0.5948817879650602,0.0028509623213596627,20
MR_RSI,2026-02,"MR_RSI|{""lo"": 5, ""n"": 2, ""trend_n"": 0}|1a65f901ec92",-0.3244723383805029,1.472379979239614,0.003994578226900659,20
MR_ZSCORE,2026-02,"MR_ZSCORE|{""k"": 1.5, ""n"": 5}|1a65f901ec92",0.12589075175185652,1.6780679066976871,0.006014943217928752,20
TF_DONCHIAN,2026-02,"TF_DONCHIAN|{""n"": 40}|a7fc15b4bae1",-0.701341540761469,-2.974819755271712,-0.011017008463292963,20
TF_EMA_CROSS,2026-02,"TF_EMA_CROSS|{""fast"": 5, ""slow"": 40}|53283cf9bfaf",1.6853812206088745,0.10957447214436726,0.000722274698839751,20
VOL_RANGE_EXPANSION,2026-02,"VOL_RANGE_EXPANSION|{""k"": 0.5, ""nr"": 0}|2f03dbdb7a65",-5.487630645616564,-3.630526414290888,-0.02949529310187162,20
CONTROL_RANDOM,2026-03,"CONTROL_RANDOM|{""p"": 0.1, ""seed"": 3}|1a65f901ec92",0.40045415815757535,1.9819407169310168,0.008578340974752909,22
MOM_TSMOM,2026-03,"MOM_TSMOM|{""lookback"": 40}|53283cf9bfaf",0.45415361988323166,0.5396460202248807,0.0064386627028456414,22
MR_RSI,2026-03,"MR_RSI|{""lo"": 10, ""n"": 2, ""trend_n"": 0}|1a65f901ec92",-0.0031630180207962385,-4.387163925476397,-0.031068726344129417,22
MR_ZSCORE,2026-03,"MR_ZSCORE|{""k"": 1.5, ""n"": 5}|1a65f901ec92",0.44606633076172875,-3.8919040472929236,-0.0372524393032057,22
TF_DONCHIAN,2026-03,"TF_DONCHIAN|{""n"": 40}|a7fc15b4bae1",-1.0102215500563365,1.3100537556739495,0.013455229423735178,22
TF_EMA_CROSS,2026-03,"TF_EMA_CROSS|{""fast"": 5, ""slow"": 40}|53283cf9bfaf",1.0615579925017935,1.8189473103331513,0.020091865050256365,22
VOL_RANGE_EXPANSION,2026-03,"VOL_RANGE_EXPANSION|{""k"": 0.5, ""nr"": 0}|2f03dbdb7a65",-5.595045732305894,2.2812653706120436,0.04569592712008593,22
CONTROL_RANDOM,2026-04,"CONTROL_RANDOM|{""p"": 0.1, ""seed"": 3}|1a65f901ec92",0.05126928045684831,4.2745180603421815,0.02638042178138869,22
MOM_TSMOM,2026-04,"MOM_TSMOM|{""lookback"": 40}|53283cf9bfaf",0.8420157141805975,-3.2955612826630434,-0.01528808014505845,22
MR_RSI,2026-04,"MR_RSI|{""lo"": 5, ""n"": 2, ""trend_n"": 0}|1a65f901ec92",-0.7271745163425645,-2.8111435693940985,-0.012656982843293342,22
MR_ZSCORE,2026-04,"MR_ZSCORE|{""k"": 2.0, ""n"": 10}|1a65f901ec92",-0.12773234043303716,-1.9045666688242588,-0.008291708910591085,22
TF_DONCHIAN,2026-04,"TF_DONCHIAN|{""n"": 40}|a7fc15b4bae1",-0.1275055193537943,-0.9065622327533744,-0.004246915526738039,22
TF_EMA_CROSS,2026-04,"TF_EMA_CROSS|{""fast"": 5, ""slow"": 40}|53283cf9bfaf",1.104793553599535,-1.9551102349653335,-0.010193440353006823,22
