family,test_period,selected,train_score,test_sharpe,test_return,test_days
CONTROL_RANDOM,2026-01,"CONTROL_RANDOM|{""p"": 0.02, ""seed"": 2}|ab41097016d0",-12.252891462284161,-29.164132826201982,-0.7789133819393067,21
ID_ORB,2026-01,"ID_ORB|{""n_min"": 30}|297432846773",-31.61933781041103,-29.157283540079774,-0.8593658737302915,21
MR_RSI,2026-01,"MR_RSI|{""lo"": 5, ""n"": 2, ""trend_n"": 0}|ab41097016d0",-32.184815737610386,-47.47357195636811,-2.341960422864536,21
MR_VWAP,2026-01,"MR_VWAP|{""k"": 3.0}|ab41097016d0",-16.59757685858041,-17.377335564956162,-1.7029613917703936,21
MR_ZSCORE,2026-01,"MR_ZSCORE|{""k"": 2.5, ""n"": 24}|ab41097016d0",-20.673821912496024,-20.396193302057714,-1.2626185489311452,21
TF_DONCHIAN,2026-01,"TF_DONCHIAN|{""n"": 12}|5d2d41fc49d9",-27.500025303594793,-21.0714337842613,-1.306004592252845,21
TF_EMA_CROSS,2026-01,"TF_EMA_CROSS|{""fast"": 12, ""slow"": 72}|1b9fc7370929",-10.075335154072974,-18.937829900138567,-2.431291220406471,21
VOLU_BREAKOUT,2026-01,"VOLU_BREAKOUT|{""n"": 12, ""rv"": 3.0}|297432846773",-23.4329125557007,-38.12092478584826,-1.8185457291289235,21
VOL_SQUEEZE,2026-01,"VOL_SQUEEZE|{""lookback"": 120, ""n"": 24, ""pct"": 0.1}|297432846773",-14.621488682078096,-26.175600262390038,-0.8629467162376281,21
CONTROL_RANDOM,2026-02,"CONTROL_RANDOM|{""p"": 0.02, ""seed"": 2}|ab41097016d0",-14.032925401280663,-26.736931421786856,-0.6641947190415479,20
ID_ORB,2026-02,"ID_ORB|{""n_min"": 30}|297432846773",-32.560180051823004,-45.71184797745125,-0.8219337955878241,20
MR_RSI,2026-02,"MR_RSI|{""lo"": 10, ""n"": 2, ""trend_n"": 72}|ab41097016d0",-29.42306380089614,-45.595493469604364,-1.5058476971209294,20
MR_VWAP,2026-02,"MR_VWAP|{""k"": 3.0}|ab41097016d0",-17.027287524287626,-33.086142331152075,-1.7086060876000546,20
MR_ZSCORE,2026-02,"MR_ZSCORE|{""k"": 2.5, ""n"": 24}|ab41097016d0",-21.609821543388808,-34.72381805032255,-1.4144296094623305,20
TF_DONCHIAN,2026-02,"TF_DONCHIAN|{""n"": 12}|745d6d113e75",-21.36360332211045,-11.154054383211863,-0.0004439456881483792,20
TF_EMA_CROSS,2026-02,"TF_EMA_CROSS|{""fast"": 12, ""slow"": 72}|1b9fc7370929",-11.778304711128932,-22.650000836796114,-1.5880843319271951,20
VOLU_BREAKOUT,2026-02,"VOLU_BREAKOUT|{""n"": 24, ""rv"": 3.0}|297432846773",-25.775324843318824,-34.70526845305926,-1.4427401956777215,20
VOL_SQUEEZE,2026-02,"VOL_SQUEEZE|{""lookback"": 120, ""n"": 24, ""pct"": 0.1}|297432846773",-16.966999636223978,-14.28190263855134,-0.7862061400838883,20
CONTROL_RANDOM,2026-03,"CONTROL_RANDOM|{""p"": 0.02, ""seed"": 2}|ab41097016d0",-15.209833983869324,-21.853159058804035,-0.7193816240307898,22
ID_ORB,2026-03,"ID_ORB|{""n_min"": 30}|297432846773",-34.791998135481016,-27.65376680787936,-0.7747417389841645,22
MR_RSI,2026-03,"MR_RSI|{""lo"": 5, ""n"": 2, ""trend_n"": 0}|ab41097016d0",-25.022096976281784,-16.82354948413678,-0.09159377496650825,22
MR_VWAP,2026-03,"MR_VWAP|{""k"": 3.0}|ab41097016d0",-17.56440112374496,-30.52503116401083,-1.8187184353675379,22
MR_ZSCORE,2026-03,"MR_ZSCORE|{""k"": 2.5, ""n"": 24}|ab41097016d0",-23.066361485697513,-29.136126517910565,-1.4861561536612007,22
TF_DONCHIAN,2026-03,"TF_DONCHIAN|{""n"": 12}|745d6d113e75",-16.863669425736507,-13.97993527892327,-2.517229711285871e-06,22
TF_EMA_CROSS,2026-03,"TF_EMA_CROSS|{""fast"": 12, ""slow"": 72}|1b9fc7370929",-12.432938981016934,-11.522414176437927,-0.7320691700867288,22
VOLU_BREAKOUT,2026-03,"VOLU_BREAKOUT|{""n"": 24, ""rv"": 3.0}|297432846773",-27.469311492214995,-32.10806933349562,-1.1798972610710896,22
