family,test_period,selected,train_score,test_sharpe,test_return,test_days
CONTROL_RANDOM,2026-01,"CONTROL_RANDOM|{""p"": 0.02, ""seed"": 1}|ab41097016d0",-8.391277547251526,-19.944914418609674,-0.3650422465552062,19
ID_ORB,2026-01,"ID_ORB|{""n_min"": 30}|297432846773",-20.799077055509258,-6.775492139617334,-0.22767078724080164,19
MR_RSI,2026-01,"MR_RSI|{""lo"": 5, ""n"": 2, ""trend_n"": 72}|ab41097016d0",-27.465757301823857,-20.366659400871008,-0.3207841325025923,19
MR_VWAP,2026-01,"MR_VWAP|{""k"": 3.0}|ab41097016d0",-16.676573238605968,-20.20646739471421,-1.2487299087672017,19
MR_ZSCORE,2026-01,"MR_ZSCORE|{""k"": 2.5, ""n"": 24}|ab41097016d0",-20.406058742262825,-21.764635125839174,-0.705128373155904,19
TF_DONCHIAN,2026-01,"TF_DONCHIAN|{""n"": 48}|5d2d41fc49d9",-22.626141660883302,-18.19941591984822,-1.0119419450223412,19
TF_EMA_CROSS,2026-01,"TF_EMA_CROSS|{""fast"": 12, ""slow"": 72}|1b9fc7370929",-7.484737561357744,-9.794818263375898,-0.7040628940343847,19
VOLU_BREAKOUT,2026-01,"VOLU_BREAKOUT|{""n"": 24, ""rv"": 3.0}|297432846773",-14.666466487418147,-13.787360469629547,-0.4687704095566485,19
VOL_SQUEEZE,2026-01,"VOL_SQUEEZE|{""lookback"": 120, ""n"": 12, ""pct"": 0.1}|297432846773",-12.251006338663354,-20.44385047988744,-0.3540268976683932,19
CONTROL_RANDOM,2026-02,"CONTROL_RANDOM|{""p"": 0.02, ""seed"": 2}|ab41097016d0",-9.141113753263538,-13.384525282112357,-0.4595740257867057,20
ID_ORB,2026-02,"ID_ORB|{""n_min"": 30}|297432846773",-19.039462813496424,-34.38442813644821,-0.5549741345243112,20
MR_RSI,2026-02,"MR_RSI|{""lo"": 5, ""n"": 2, ""trend_n"": 72}|ab41097016d0",-27.974967009632376,-37.57134402737542,-0.33321001602772277,20
MR_VWAP,2026-02,"MR_VWAP|{""k"": 3.0}|ab41097016d0",-17.90928278060997,-14.697332104726728,-0.9122788471393019,20
