breakdown,key,trades,expectancy_R,gross_R,win_rate,sum_R
code,BR,213,-0.17193322547253725,0.029332292084106676,0.3051643192488263,-36.62177702565044
code,CR,196,-0.3964308999722277,-0.0843986354042115,0.20918367346938777,-77.70045639455662
code,GD,182,-0.19199406751004508,0.0026954588899058443,0.27472527472527475,-34.942920286828205
code,GZ,203,-0.3076623391521894,-0.10996588742291923,0.26108374384236455,-62.455454847894444
code,MX,185,-0.28623971714986557,-0.005297461777140463,0.24324324324324326,-52.954347672725135
code,RI,126,-0.252410578501844,-0.020740193527408034,0.23809523809523808,-31.803732891232343
code,RN,50,-0.1083061840834854,0.011990500436466519,0.36,-5.41530920417427
code,SR,170,-0.1892342476028253,0.05422470768161741,0.3058823529411765,-32.1698220924803
code,Si,184,-0.18656613544081324,0.019350225236872964,0.3423913043478261,-34.328168921109636
tag,BREAKOUT,1347,-0.2273858914105227,-0.005021234012077081,0.28878990348923533,-306.2887957299741
tag,REVERSAL,162,-0.3833530469547983,-0.09616285050539586,0.1728395061728395,-62.10319360667733
direction,LONG,720,-0.23645503327391182,-0.009392657692520102,0.2861111111111111,-170.24762395721652
direction,SHORT,789,-0.2511335429397147,-0.019745589933494907,0.2674271229404309,-198.1443653794349
tag_direction,BREAKOUT|LONG,655,-0.2252487026815934,-0.004046212155707178,0.29465648854961835,-147.53790025644366
tag_direction,BREAKOUT|SHORT,692,-0.2294088084877607,-0.005944123196935877,0.2832369942196532,-158.75089547353042
tag_direction,REVERSAL|LONG,65,-0.34938036462727456,-0.06326837810194265,0.2,-22.709723700772848
tag_direction,REVERSAL|SHORT,97,-0.4061182464526235,-0.11820553819843152,0.15463917525773196,-39.39346990590448
period,dev,975,-0.3027781866037686,-0.05554940185244978,0.25333333333333335,-295.20873193867436
period,holdout,534,-0.13704729849808436,0.059585548333326924,0.31835205992509363,-73.18325739797704
regime,ETS,869,-0.1987941392456446,0.012793754233726395,0.29689298043728424,-172.75210700446516
regime,pre-ETS,640,-0.30568731614404104,-0.052280869414453424,0.2484375,-195.63988233218626
spec_set,False,896,-0.22028901314549906,-0.006595892374923781,0.2935267857142857,-197.37895577836716
spec_set,True,613,-0.27897721624516186,-0.026805977860049342,0.25122349102773245,-171.01303355828423
month,2025-10,37,-0.34954485498567023,-0.1554698408489446,0.2972972972972973,-12.9331596344698
month,2025-11,108,-0.1439174257941207,0.09662260999762616,0.2777777777777778,-15.543081985765037
month,2025-12,118,-0.27164283343721257,-0.0017916604070156196,0.2796610169491525,-32.053854345591084
month,2026-01,144,-0.3819311926869988,-0.10807055172504193,0.2222222222222222,-54.998091746927834
month,2026-02,135,-0.42599786042409055,-0.16018783386347313,0.17037037037037037,-57.50971115725223
month,2026-03,130,-0.23618348904981645,-0.0297775137841189,0.2923076923076923,-30.70385357647614
month,2026-04,156,-0.31708578673398174,-0.0764150532243849,0.23076923076923078,-49.465382730501155
month,2026-05,147,-0.2857251480387148,-0.03845419409203369,0.29931972789115646,-42.001596761691076
month,2026-06,129,-0.19473423805042955,0.010932662309706034,0.3023255813953488,-25.120716708505412
month,2026-07,160,-0.17927773798868646,-0.01463785727384626,0.28125,-28.68443807818983
month,2026-08,158,-0.05648501078787223,0.1524423666930933,0.34810126582278483,-8.924631704483811
month,2026-09,87,-0.1201548380091723,0.09959232871668001,0.3563218390804598,-10.45347090679799
exit_reason,FORCE_CLOSE,146,0.24033244527091321,0.4366548233717593,0.5821917808219178,35.08853700955333
exit_reason,INITIAL_STOP,238,-0.9375817733191562,-0.6660018697991418,0.0,-223.14446204995917
exit_reason,TRAILING_STOP,1125,-0.16029872381888494,0.06436876160335728,0.2951111111111111,-180.33606429624555
