breakout_k,reversal_k,setup_k,sharpe,trades,expectancy_R,gross_R
0.15,0.05,0.25,-9.3647344518108,1314,-0.26253317765241674,-0.014485868314853358
0.25,0.05,0.25,-11.075859472204007,1122,-0.28926291332532333,-0.0416017216179756
0.35,0.05,0.25,-11.356904671524,932,-0.3188700578163832,-0.0724422031945551
0.15,0.07,0.25,-9.250973345499645,1317,-0.2613367867877897,-0.013170116822716208
0.25,0.07,0.25,-10.989548445219791,1126,-0.28831602463716244,-0.04048711373552534
0.35,0.07,0.25,-11.244736877222309,936,-0.3175509029289726,-0.07092005952029158
0.15,0.1,0.25,-9.267800542186459,1324,-0.26176094640464487,-0.013249850940507188
0.25,0.1,0.25,-11.01721012420955,1133,-0.28860923482058587,-0.04037349516512885
0.35,0.1,0.25,-11.117215108411061,943,-0.31761600035372906,-0.07048245381715296
0.15,0.05,0.35,-10.007722593925916,1151,-0.2751616924490707,-0.029276480060778313
0.25,0.05,0.35,-10.717747655162395,973,-0.3020353525954587,-0.055034731319194855
0.35,0.05,0.35,-9.241788087843727,735,-0.32541139068106734,-0.08022355379784882
0.15,0.07,0.35,-9.903361669045658,1153,-0.27582812203727375,-0.029740630241423937
0.25,0.07,0.35,-10.556958915884957,975,-0.30277818660376826,-0.055549401852449776
0.35,0.07,0.35,-9.14094174741393,737,-0.3262748103832768,-0.08077345803730902
0.15,0.1,0.35,-9.935649150049736,1159,-0.2749381442776593,-0.02839496358298986
0.25,0.1,0.35,-10.590108634044924,981,-0.3014792046075124,-0.053720379462742954
0.35,0.1,0.35,-9.132843391598039,743,-0.32433395826264894,-0.07811856292068778
0.15,0.05,0.45,-10.118363641388248,1046,-0.28136307825134144,-0.035093081931741786
0.25,0.05,0.45,-10.524760690223307,816,-0.3296900957877746,-0.0848728404789807
0.35,0.05,0.45,-8.653276358107195,636,-0.33319711536961194,-0.09226670148132461
0.15,0.07,0.45,-9.987331487533028,1048,-0.2809404368702884,-0.03449742758984464
0.25,0.07,0.45,-10.465875066226982,818,-0.33094150801757766,-0.08583365413168245
0.35,0.07,0.45,-8.627968283678289,638,-0.3347905968191656,-0.093475412838543
0.15,0.1,0.45,-9.972859902912267,1051,-0.2800776125499311,-0.03344129090194765
0.25,0.1,0.45,-10.466419484837699,821,-0.32817125450583845,-0.08281604189927363
0.35,0.1,0.45,-8.566565719825956,641,-0.3312244105484283,-0.08957465633475484
