code,ym,h,n,v
AFLT,2025-09,6,4,5301.0
AFLT,2025-09,7,240,360616.0
AFLT,2025-09,8,240,287730.0
AFLT,2025-09,9,240,231201.0
AFLT,2025-09,10,240,974323.0
AFLT,2025-09,11,240,568637.0
AFLT,2025-09,12,240,658251.0
AFLT,2025-09,13,240,412552.0
AFLT,2025-09,14,240,299596.0
AFLT,2025-09,15,240,391294.0
AFLT,2025-09,16,240,472540.0
AFLT,2025-09,17,240,974459.0
AFLT,2025-09,18,176,1143022.0
AFLT,2025-09,19,240,773561.0
AFLT,2025-09,20,239,490896.0
AFLT,2025-09,21,239,295308.0
AFLT,2025-09,22,236,138555.0
AFLT,2025-09,23,195,193987.0
AFLT,2025-10,6,23,71230.0
AFLT,2025-10,7,1372,4705671.0
AFLT,2025-10,8,1370,2623477.0
AFLT,2025-10,9,1378,3459411.0
AFLT,2025-10,10,1380,5961925.0
AFLT,2025-10,11,1380,4394486.0
AFLT,2025-10,12,1380,4873650.0
AFLT,2025-10,13,1380,4711886.0
AFLT,2025-10,14,1379,4508090.0
AFLT,2025-10,15,1379,4268059.0
AFLT,2025-10,16,1380,4035206.0
AFLT,2025-10,17,1379,4339658.0
AFLT,2025-10,18,1011,3854255.0
AFLT,2025-10,19,1375,2942425.0
AFLT,2025-10,20,1374,4185982.0
AFLT,2025-10,21,1361,2456966.0
AFLT,2025-10,22,1348,2751302.0
AFLT,2025-10,23,1130,3035256.0
AFLT,2025-11,2,15,289.0
AFLT,2025-11,3,9,33.0
AFLT,2025-11,4,4,9.0
AFLT,2025-11,5,6,17.0
AFLT,2025-11,6,28,28970.0
AFLT,2025-11,7,1129,3331212.0
AFLT,2025-11,8,1144,1903409.0
AFLT,2025-11,9,1169,2662591.0
AFLT,2025-11,10,1173,6423279.0
AFLT,2025-11,11,1176,4775724.0
AFLT,2025-11,12,1171,4207174.0
AFLT,2025-11,13,1172,3044644.0
AFLT,2025-11,14,1175,3934000.0
AFLT,2025-11,15,1170,5526331.0
AFLT,2025-11,16,1165,4625520.0
AFLT,2025-11,17,1160,5298702.0
AFLT,2025-11,18,866,2417967.0
AFLT,2025-11,19,1163,3021941.0
AFLT,2025-11,20,1172,2966395.0
AFLT,2025-11,21,1157,3698850.0
AFLT,2025-11,22,1121,2260976.0
AFLT,2025-11,23,943,2120204.0
AFLT,2025-12,2,19,177.0
AFLT,2025-12,3,12,272.0
AFLT,2025-12,4,7,35.0
AFLT,2025-12,5,9,108.0
AFLT,2025-12,6,43,129909.0
AFLT,2025-12,7,1334,3387498.0
AFLT,2025-12,8,1309,1613965.0
AFLT,2025-12,9,1343,3236789.0
AFLT,2025-12,10,1360,7510596.0
AFLT,2025-12,11,1357,7685205.0
AFLT,2025-12,12,1361,5625913.0
AFLT,2025-12,13,1352,4729518.0
AFLT,2025-12,14,1356,5539272.0
AFLT,2025-12,15,1347,4744851.0
AFLT,2025-12,16,1353,4259276.0
AFLT,2025-12,17,1365,4102755.0
AFLT,2025-12,18,999,3833014.0
AFLT,2025-12,19,1353,4142469.0
AFLT,2025-12,20,1331,1313604.0
AFLT,2025-12,21,1315,1949571.0
AFLT,2025-12,22,1305,1990940.0
AFLT,2025-12,23,1085,1683861.0
AFLT,2026-01,2,36,248.0
AFLT,2026-01,3,26,456.0
AFLT,2026-01,4,27,244.0
AFLT,2026-01,5,13,129.0
AFLT,2026-01,6,44,66757.0
AFLT,2026-01,7,1155,2463195.0
AFLT,2026-01,8,1163,1155740.0
AFLT,2026-01,9,1198,2361911.0
AFLT,2026-01,10,1217,4752545.0
AFLT,2026-01,11,1205,4651910.0
AFLT,2026-01,12,1214,2684550.0
AFLT,2026-01,13,1204,2998532.0
AFLT,2026-01,14,1198,2734178.0
AFLT,2026-01,15,1203,1829752.0
AFLT,2026-01,16,1197,2327923.0
AFLT,2026-01,17,1209,3790187.0
AFLT,2026-01,18,898,2736587.0
AFLT,2026-01,19,1187,1353681.0
AFLT,2026-01,20,1173,1439218.0
AFLT,2026-01,21,1173,1571380.0
AFLT,2026-01,22,1151,1319667.0
AFLT,2026-01,23,965,1113991.0
AFLT,2026-02,2,18,9915.0
AFLT,2026-02,3,9,254.0
AFLT,2026-02,4,4,23.0
AFLT,2026-02,5,15,557.0
AFLT,2026-02,6,32,21588.0
AFLT,2026-02,7,1145,1264392.0
AFLT,2026-02,8,1137,1155781.0
AFLT,2026-02,9,1152,2284587.0
AFLT,2026-02,10,1199,3318664.0
AFLT,2026-02,11,1194,1941827.0
AFLT,2026-02,12,1196,2424490.0
AFLT,2026-02,13,1197,3002342.0
AFLT,2026-02,14,1194,1881194.0
AFLT,2026-02,15,1198,1960968.0
AFLT,2026-02,16,1194,2727209.0
AFLT,2026-02,17,1195,1594826.0
AFLT,2026-02,18,895,1436825.0
AFLT,2026-02,19,1141,1332087.0
AFLT,2026-02,20,1123,1119473.0
AFLT,2026-02,21,1120,858271.0
AFLT,2026-02,22,1120,536975.0
AFLT,2026-02,23,935,743029.0
AFLT,2026-03,6,22,50407.0
AFLT,2026-03,7,1313,1998661.0
AFLT,2026-03,8,1317,1361067.0
AFLT,2026-03,9,1320,2828299.0
AFLT,2026-03,10,1320,3348632.0
AFLT,2026-03,11,1320,3957878.0
AFLT,2026-03,12,1320,2986462.0
AFLT,2026-03,13,1320,3088457.0
AFLT,2026-03,14,1317,2902405.0
AFLT,2026-03,15,1320,4062975.0
AFLT,2026-03,16,1320,2862440.0
AFLT,2026-03,17,1320,3362474.0
AFLT,2026-03,18,1066,2075056.0
AFLT,2026-03,19,1320,1454394.0
AFLT,2026-03,20,1319,1105124.0
AFLT,2026-03,21,1315,996494.0
AFLT,2026-03,22,1301,1441782.0
AFLT,2026-03,23,1087,1336596.0
AFLT,2026-04,6,22,48400.0
AFLT,2026-04,7,1306,2885153.0
AFLT,2026-04,8,1311,2109694.0
AFLT,2026-04,9,1317,2559117.0
AFLT,2026-04,10,1320,3507411.0
AFLT,2026-04,11,1320,3260347.0
AFLT,2026-04,12,1317,2457183.0
AFLT,2026-04,13,1320,3603735.0
AFLT,2026-04,14,1319,3304406.0
AFLT,2026-04,15,1319,3252835.0
AFLT,2026-04,16,1320,3798120.0
AFLT,2026-04,17,1319,4328758.0
AFLT,2026-04,18,1262,3354465.0
AFLT,2026-04,19,1316,1830411.0
AFLT,2026-04,20,1305,1429942.0
AFLT,2026-04,21,1301,855620.0
AFLT,2026-04,22,1284,1603250.0
AFLT,2026-04,23,1079,1303352.0
AFLT,2026-05,2,7,48.0
AFLT,2026-05,3,10,568.0
AFLT,2026-05,4,7,38.0
AFLT,2026-05,5,10,204.0
AFLT,2026-05,6,42,33299.0
AFLT,2026-05,7,1181,1242183.0
AFLT,2026-05,8,1201,664252.0
AFLT,2026-05,9,1212,1779365.0
AFLT,2026-05,10,1257,3376002.0
AFLT,2026-05,11,1253,3602731.0
AFLT,2026-05,12,1252,7048479.0
AFLT,2026-05,13,1247,3227257.0
AFLT,2026-05,14,1248,2506180.0
AFLT,2026-05,15,1247,2945883.0
AFLT,2026-05,16,1250,3233373.0
AFLT,2026-05,17,1253,2402832.0
AFLT,2026-05,18,1191,3075425.0
AFLT,2026-05,19,1211,2772399.0
AFLT,2026-05,20,1207,1881053.0
AFLT,2026-05,21,1197,1437546.0
AFLT,2026-05,22,1182,1322197.0
AFLT,2026-05,23,973,1054836.0
AFLT,2026-06,2,8,1503.0
AFLT,2026-06,3,3,7.0
AFLT,2026-06,4,6,110.0
AFLT,2026-06,5,8,21.0
AFLT,2026-06,6,47,45240.0
AFLT,2026-06,7,1282,2630818.0
AFLT,2026-06,8,1283,1864197.0
AFLT,2026-06,9,1286,3612840.0
AFLT,2026-06,10,1318,6258827.0
AFLT,2026-06,11,1320,5228881.0
AFLT,2026-06,12,1320,4191874.0
AFLT,2026-06,13,1316,4985581.0
AFLT,2026-06,14,1317,5048661.0
AFLT,2026-06,15,1319,9309692.0
AFLT,2026-06,16,1317,5882143.0
AFLT,2026-06,17,1317,6802440.0
AFLT,2026-06,18,1267,3692046.0
AFLT,2026-06,19,1294,2403354.0
AFLT,2026-06,20,1295,1742981.0
AFLT,2026-06,21,1286,1635773.0
AFLT,2026-06,22,1279,1626578.0
AFLT,2026-06,23,1067,1121552.0
AFLT,2026-07,6,23,79340.0
AFLT,2026-07,7,1376,4952273.0
AFLT,2026-07,8,1377,3406047.0
AFLT,2026-07,9,1379,4122145.0
AFLT,2026-07,10,1380,7588859.0
AFLT,2026-07,11,1380,6500316.0
AFLT,2026-07,12,1380,5641562.0
AFLT,2026-07,13,1380,5909797.0
AFLT,2026-07,14,1379,4722809.0
AFLT,2026-07,15,1379,4912981.0
AFLT,2026-07,16,1379,6198675.0
AFLT,2026-07,17,1380,5734327.0
AFLT,2026-07,18,1319,4183733.0
AFLT,2026-07,19,1379,4312129.0
AFLT,2026-07,20,1376,1986126.0
AFLT,2026-07,21,1372,1657840.0
AFLT,2026-07,22,1361,1992573.0
AFLT,2026-07,23,1131,1967429.0
AFLT,2026-08,6,21,25770.0
AFLT,2026-08,7,1256,3652596.0
AFLT,2026-08,8,1255,2203451.0
AFLT,2026-08,9,1252,2956806.0
AFLT,2026-08,10,1260,4124981.0
AFLT,2026-08,11,1260,4985833.0
AFLT,2026-08,12,1260,4225411.0
AFLT,2026-08,13,1260,2929471.0
AFLT,2026-08,14,1257,2237692.0
AFLT,2026-08,15,1259,3048590.0
AFLT,2026-08,16,1257,2665725.0
AFLT,2026-08,17,1260,3991299.0
AFLT,2026-08,18,1198,3814178.0
AFLT,2026-08,19,1247,1949302.0
AFLT,2026-08,20,1237,1227252.0
AFLT,2026-08,21,1231,976856.0
AFLT,2026-08,22,1207,1014242.0
AFLT,2026-08,23,1006,899060.0
AFLT,2026-09,6,19,53991.0
AFLT,2026-09,7,1125,3872218.0
AFLT,2026-09,8,1118,2021464.0
AFLT,2026-09,9,1135,3501205.0
AFLT,2026-09,10,1140,3515821.0
AFLT,2026-09,11,1136,4516621.0
AFLT,2026-09,12,1140,3741538.0
AFLT,2026-09,13,1136,3718252.0
AFLT,2026-09,14,1137,2772715.0
AFLT,2026-09,15,1137,2545600.0
AFLT,2026-09,16,1139,3334270.0
AFLT,2026-09,17,1137,3072478.0
AFLT,2026-09,18,1034,2997284.0
AFLT,2026-09,19,1064,1604363.0
AFLT,2026-09,20,1061,4471346.0
AFLT,2026-09,21,1044,4806641.0
AFLT,2026-09,22,1026,2569199.0
AFLT,2026-09,23,850,1930456.0
ALRS,2025-09,6,4,529.0
ALRS,2025-09,7,217,69240.0
ALRS,2025-09,8,202,46958.0
ALRS,2025-09,9,217,107437.0
ALRS,2025-09,10,240,509519.0
ALRS,2025-09,11,239,329270.0
ALRS,2025-09,12,236,689693.0
ALRS,2025-09,13,237,382538.0
ALRS,2025-09,14,232,296187.0
ALRS,2025-09,15,233,249378.0
ALRS,2025-09,16,235,241951.0
ALRS,2025-09,17,237,282907.0
ALRS,2025-09,18,176,377448.0
ALRS,2025-09,19,235,240424.0
ALRS,2025-09,20,226,131237.0
ALRS,2025-09,21,222,147884.0
ALRS,2025-09,22,228,87606.0
ALRS,2025-09,23,175,62386.0
ALRS,2025-10,6,22,25741.0
ALRS,2025-10,7,1246,965992.0
ALRS,2025-10,8,1227,491717.0
ALRS,2025-10,9,1315,978025.0
ALRS,2025-10,10,1374,2075654.0
ALRS,2025-10,11,1370,2242603.0
ALRS,2025-10,12,1364,1942225.0
ALRS,2025-10,13,1357,1893291.0
ALRS,2025-10,14,1356,1681818.0
ALRS,2025-10,15,1370,1696521.0
ALRS,2025-10,16,1367,1636320.0
ALRS,2025-10,17,1370,2027346.0
ALRS,2025-10,18,1002,1474675.0
ALRS,2025-10,19,1321,931378.0
ALRS,2025-10,20,1298,1122588.0
ALRS,2025-10,21,1269,628098.0
ALRS,2025-10,22,1209,567756.0
ALRS,2025-10,23,1005,633127.0
ALRS,2025-11,2,9,161.0
ALRS,2025-11,3,4,33.0
ALRS,2025-11,4,4,45.0
ALRS,2025-11,5,2,5.0
ALRS,2025-11,6,24,10941.0
ALRS,2025-11,7,959,645864.0
ALRS,2025-11,8,976,309949.0
ALRS,2025-11,9,1092,663340.0
ALRS,2025-11,10,1148,1870263.0
ALRS,2025-11,11,1145,2073794.0
ALRS,2025-11,12,1154,1474856.0
ALRS,2025-11,13,1146,1326792.0
ALRS,2025-11,14,1150,1449863.0
ALRS,2025-11,15,1135,1945878.0
ALRS,2025-11,16,1130,1863211.0
ALRS,2025-11,17,1136,1823090.0
ALRS,2025-11,18,822,944461.0
