ticker,n,first_ts,last_ts,dup_ts,ohlc_viol,nonpos,zero_vol,not_minute_aligned,flat_bars,volume,weekend_bars,night_bars
AFLT,335202,2025-09-25 03:59:00+00:00,2026-09-25 15:13:00+00:00,0,0.0,0.0,0.0,0.0,61654.0,677334850.0,78304.0,379.0
ALRS,317385,2025-09-25 03:59:00+00:00,2026-09-25 15:13:00+00:00,0,0.0,0.0,0.0,0.0,71297.0,954945576.0,65229.0,263.0
BRF6,38375,2025-10-12 07:34:00+00:00,2026-01-05 15:49:00+00:00,0,0.0,0.0,0.0,0.0,9571.0,5757243.0,2094.0,0.0
BRG6,36479,2025-11-10 06:00:00+00:00,2026-02-02 15:48:00+00:00,0,0.0,0.0,0.0,0.0,9470.0,7352560.0,2630.0,0.0
BRH6,42620,2025-11-29 08:28:00+00:00,2026-03-02 15:47:00+00:00,0,0.0,0.0,0.0,0.0,8634.0,8676399.0,4484.0,0.0
BRJ6,42583,2025-12-30 06:52:00+00:00,2026-04-01 15:59:00+00:00,0,0.0,0.0,0.0,0.0,8078.0,42139504.0,3783.0,0.0
BRK6,50076,2026-02-11 06:00:00+00:00,2026-05-04 15:59:00+00:00,0,0.0,0.0,0.0,0.0,3682.0,42232258.0,7412.0,0.0
BRM6,54865,2026-03-17 05:59:00+00:00,2026-06-01 15:59:00+00:00,0,0.0,0.0,0.0,0.0,4818.0,32213419.0,8167.0,0.0
BRN6,50822,2026-04-13 05:59:00+00:00,2026-07-01 15:59:00+00:00,0,0.0,0.0,0.0,0.0,6014.0,19635238.0,6496.0,0.0
BRQ6,54731,2026-05-04 05:59:00+00:00,2026-07-31 20:49:00+00:00,0,0.0,0.0,0.0,0.0,6844.0,22175839.0,7179.0,0.0
BRU6,57172,2026-06-02 05:59:00+00:00,2026-08-31 15:59:00+00:00,0,0.0,0.0,0.0,0.0,8500.0,16127786.0,6031.0,0.0
BRV5,4286,2025-09-25 05:59:00+00:00,2025-10-01 15:48:00+00:00,0,0.0,0.0,0.0,0.0,668.0,1214117.0,415.0,0.0
BRV6,50876,2026-07-13 05:59:00+00:00,2026-09-25 15:13:00+00:00,0,0.0,0.0,0.0,0.0,7564.0,18111664.0,3924.0,0.0
BRX5,25792,2025-09-25 06:00:00+00:00,2025-11-01 20:47:00+00:00,0,0.0,0.0,0.0,0.0,2535.0,7575327.0,2443.0,0.0
BRX6,24597,2026-08-10 03:59:00+00:00,2026-09-25 15:12:00+00:00,0,0.0,0.0,0.0,0.0,5193.0,1215776.0,1053.0,0.0
BRZ5,38649,2025-09-25 06:00:00+00:00,2025-12-01 15:49:00+00:00,0,0.0,0.0,0.0,0.0,7240.0,6531432.0,2401.0,0.0
CRH6,78164,2025-10-22 05:59:00+00:00,2026-03-19 10:59:00+00:00,0,0.0,0.0,0.0,0.0,9409.0,429327801.0,348.0,0.0
CRM6,83322,2026-01-16 06:00:00+00:00,2026-06-18 10:59:00+00:00,0,0.0,0.0,0.0,0.0,9158.0,634926285.0,0.0,0.0
CRU6,99628,2026-04-17 06:00:00+00:00,2026-09-17 10:59:00+00:00,0,0.0,0.0,0.0,0.0,11750.0,709054924.0,4808.0,0.0
CRZ5,52033,2025-09-25 05:59:00+00:00,2025-12-18 10:59:00+00:00,0,0.0,0.0,0.0,0.0,2809.0,419232356.0,816.0,0.0
CRZ6,47027,2026-07-15 04:00:00+00:00,2026-09-25 15:11:00+00:00,0,0.0,0.0,0.0,0.0,10596.0,120337097.0,2465.0,0.0
