code,bars,days,first_day,last_day,series,rolls,main_bars_median,main_fill_pct,days_main_lt50pct,sess_morning_pct,sess_evening_pct,median_1m_absret_bp,outliers_z25,gaps_gt3pct,median_1m_volume
Si,228583,253,2025-09-25,2026-09-24,5,4,540,100.0,0,9.5,31.5,1.21,11,0,607.0
CR,227680,253,2025-09-25,2026-09-24,5,4,540,100.0,0,9.6,31.2,0.95,34,0,3409.0
RI,221220,256,2025-09-25,2026-09-24,5,4,532,98.6,2,9.7,29.2,2.65,11,0,41.0
MX,226566,256,2025-09-25,2026-09-24,5,4,536,99.3,0,9.6,30.5,1.91,33,0,96.0
BR,230673,256,2025-09-25,2026-09-24,13,12,540,100.0,0,9.4,31.5,3.68,44,18,379.0
GD,230711,256,2025-09-25,2026-09-24,5,4,538,99.6,0,9.4,31.5,2.0,32,4,123.0
SR,212236,256,2025-09-25,2026-09-24,5,4,522,96.7,0,9.9,27.6,1.56,35,0,47.0
GZ,218574,256,2025-09-25,2026-09-24,5,4,525,97.2,0,9.8,28.9,2.82,19,0,96.0
RN,141318,256,2025-09-25,2026-09-24,5,4,361,66.9,52,10.8,22.7,4.5,6,9,9.0
SBER,260547,260,2025-09-25,2026-09-24,1,0,537,99.4,0,18.0,28.9,1.02,149,1,9384.0
GAZP,259300,260,2025-09-25,2026-09-24,1,0,537,99.4,0,18.0,28.8,2.33,47,0,2181.0
LKOH,258794,260,2025-09-25,2026-09-24,1,0,536,99.3,0,17.9,28.8,1.95,82,7,343.0
ROSN,259847,260,2025-09-25,2026-09-24,1,0,537,99.4,0,18.0,28.9,2.48,35,8,2423.0
GMKN,255448,260,2025-09-25,2026-09-24,1,0,535,99.2,1,17.8,28.5,2.88,13,1,692.0
NVTK,257152,260,2025-09-25,2026-09-24,1,0,536,99.3,0,17.9,28.7,2.81,34,4,1028.5
TATN,256025,260,2025-09-25,2026-09-24,1,0,532,98.5,0,17.8,28.6,3.05,25,7,707.0
MGNT,239206,260,2025-09-25,2026-09-24,1,0,522,96.7,4,17.3,27.2,3.15,18,1,103.0
PLZL,257114,260,2025-09-25,2026-09-24,1,0,534,98.9,0,17.9,28.6,2.85,62,4,488.0
VTBR,260240,260,2025-09-25,2026-09-24,1,0,537,99.4,0,18.0,28.9,1.93,69,1,24445.0
ALRS,251229,260,2025-09-25,2026-09-24,1,0,534,98.9,4,17.6,28.3,3.65,20,2,628.0
AFLT,255851,260,2025-09-25,2026-09-24,1,0,531,98.3,0,17.9,28.5,2.99,34,2,569.0
