code,day,secid,prev_close,open,gap_pct
BR,2026-02-02,BRH6,70.0,65.86,-5.914285714285716
BR,2026-03-02,BRJ6,73.15,78.15,6.835269993164728
BR,2026-03-09,BRJ6,92.88,105.61,13.705857019810509
BR,2026-03-10,BRJ6,88.38,93.7,6.019461416610095
BR,2026-03-11,BRJ6,92.32,89.0,-3.5961871750433194
BR,2026-03-12,BRJ6,94.11,99.27,5.482945489321001
BR,2026-04-02,BRK6,101.08,108.15,6.99445983379503
BR,2026-04-08,BRK6,106.69,94.85,-11.097572406036182
BR,2026-04-13,BRK6,95.0,102.44,7.831578947368412
BR,2026-04-20,BRK6,91.92,95.87,4.297214969538743
BR,2026-05-11,BRM6,100.6,105.58,4.950298210735582
BR,2026-05-25,BRM6,104.13,98.01,-5.8772687986171075
BR,2026-06-08,BRN6,93.62,97.82,4.486220892971571
BR,2026-06-15,BRN6,87.3,83.99,-3.7915234822451294
BR,2026-07-13,BRQ6,76.3,79.69,4.4429882044561
BR,2026-07-27,BRQ6,98.36,92.48,-5.978039853599015
BR,2026-07-29,BRQ6,83.99,87.82,4.560066674604113
BR,2026-08-03,BRU6,88.4,83.8,-5.203619909502278
GD,2026-01-30,GDH6,5385.0,5200.3,-3.429897864438247
GD,2026-02-03,GDH6,4672.0,4814.0,3.039383561643838
GD,2026-03-23,GDM6,4652.5,4401.1,-5.403546480386878
GD,2026-04-02,GDM6,4808.0,4651.0,-3.2653910149750387
RN,2026-03-02,RNH6,39775.0,41600.0,4.5883092394720215
RN,2026-03-03,RNH6,43944.0,45413.0,3.3428909521208805
RN,2026-03-09,RNH6,46947.0,49865.0,6.215519628517274
RN,2026-04-08,RNM6,49244.0,46777.0,-5.0097473803915165
RN,2026-04-13,RNM6,45901.0,47849.0,4.24391625454783
RN,2026-04-20,RNM6,43854.0,45200.0,3.0692753226615688
RN,2026-07-20,RNU6,30289.0,31204.0,3.020898676087036
RN,2026-07-27,RNU6,35966.0,34632.0,-3.709058555302225
RN,2026-09-07,RNU6,32389.0,33648.0,3.887122171107471
SBER,2026-07-20,SBER,279.92,251.05,-10.313661046013145
LKOH,2026-01-12,LKOH,5878.0,5520.0,-6.090506975161625
LKOH,2026-03-02,LKOH,5220.5,5399.5,3.4287903457523194
LKOH,2026-03-09,LKOH,5636.0,5874.0,4.222853087295952
LKOH,2026-04-08,LKOH,5591.5,5400.0,-3.4248412769382064
LKOH,2026-04-13,LKOH,5392.0,5585.0,3.5793768545994142
LKOH,2026-05-01,LKOH,5518.0,5258.0,-4.711852120333459
LKOH,2026-07-20,LKOH,3998.5,4123.5,3.126172314617981
ROSN,2026-03-02,ROSN,394.25,408.95,3.7285986049460984
ROSN,2026-03-09,ROSN,467.5,512.95,9.721925133689858
ROSN,2026-04-08,ROSN,477.7,441.0,-7.6826460121415145
ROSN,2026-04-13,ROSN,446.25,471.05,5.557422969187686
ROSN,2026-04-20,ROSN,427.95,442.2,3.3298282509639066
ROSN,2026-07-13,ROSN,310.2,320.0,3.1592520954223158
ROSN,2026-07-27,ROSN,352.3,339.0,-3.775191598069827
ROSN,2026-09-07,ROSN,321.95,334.95,4.037894082932136
GMKN,2026-07-20,GMKN,96.54,99.56,3.128237000207168
NVTK,2025-10-06,NVTK,1084.0,1048.2,-3.3025830258302524
NVTK,2025-10-23,NVTK,1084.4,1052.0,-2.987827369974183
NVTK,2026-03-09,NVTK,1345.0,1418.1,5.434944237918216
NVTK,2026-04-08,NVTK,1292.3,1251.7,-3.1416853671747957
TATN,2025-10-14,TATN,595.3,580.9,-2.4189484293633434
TATN,2026-03-02,TATN,543.0,565.0,4.051565377532218
TATN,2026-03-09,TATN,642.9,670.0,4.2152745372530775
TATN,2026-03-12,TATN,629.5,649.5,3.1771247021445514
TATN,2026-04-08,TATN,658.0,608.0,-7.598784194528873
TATN,2026-04-13,TATN,611.1,642.3,5.105547373588593
TATN,2026-07-27,TATN,516.1,500.0,-3.1195504747142055
MGNT,2026-08-24,MGNT,1637.0,1580.0,-3.4819792302993258
PLZL,2025-12-29,PLZL,2373.4,2450.0,3.2274374315328203
PLZL,2026-03-02,PLZL,2505.4,2588.4,3.3128442564061666
PLZL,2026-07-13,PLZL,1191.6,1146.4,-3.7932192010741717
PLZL,2026-07-20,PLZL,927.6,962.8,3.794739111686063
VTBR,2026-07-20,VTBR,59.405,52.02,-12.43161350054709
ALRS,2026-07-20,ALRS,16.26,16.85,3.62853628536286
ALRS,2026-08-10,ALRS,21.67,22.41,3.414859252422686
AFLT,2026-07-17,AFLT,33.73,28.47,-15.594426326712119
AFLT,2026-07-20,AFLT,28.96,29.9,3.245856353591159
