code,kind,tick,lot,tick_value,im,ref_series,margin_pct,last_price,notional_rub,tick_pct_bp
Si,future,1.0,1,1.0,12057.11,SiZ5,0.14011748983149333,86050.0,86050.0,0.11621150493898896
CR,future,0.001,1,1.0,889.8,CRZ5,0.06928827285469552,12.842,12842.0,0.778694907335306
RI,future,10.0,1,16.07614,26023.84,RIZ5,0.18864777989403572,85810.0,137949.35734,1.1653653420347279
MX,future,25.0,1,25.0,27637.5,MXZ5,0.11821000855431993,233800.0,233800.0,1.0692899914456802
BR,future,0.01,1,7.82284,6826.01,BRZ5,0.08155663242512927,106.99,83696.56516,0.9346667912889055
GD,future,0.1,1,8.00301,19904.34,GDZ5,0.05731717196935627,4339.2,347266.60991999996,0.23045722713864308
SR,future,1.0,1,1.0,5084.66,SRZ5,0.17612261863526152,28870.0,28870.0,0.3463803255975061
GZ,future,1.0,1,1.0,2232.83,GZZ5,0.2133616817964644,10465.0,10465.0,0.9555661729574773
RN,future,1.0,1,1.0,7719.0,RNZ5,0.2031315789473684,38000.0,38000.0,0.2631578947368421
SBER,equity,0.01,1,0.01,,,,279.33,279.33,0.3579994988007017
GAZP,equity,0.01,10,0.1,,,,101.16,1011.6,0.988533017002768
LKOH,equity,0.5,1,0.5,,,,5419.5,5419.5,0.9225943352707814
ROSN,equity,0.05,1,0.05,,,,368.1,368.1,1.3583265417006247
GMKN,equity,0.02,10,0.2,,,,119.68,1196.8,1.6711229946524062
NVTK,equity,0.1,1,0.1,,,,1083.0,1083.0,0.9233610341643582
TATN,equity,0.1,1,0.1,,,,639.5,639.5,1.563721657544957
MGNT,equity,0.5,1,0.5,,,,1614.5,1614.5,3.096934035305048
PLZL,equity,0.2,1,0.2,,,,985.2,985.2,2.0300446609825413
VTBR,equity,0.005,1,0.005,,,,51.205,51.205,0.9764671418806757
ALRS,equity,0.01,10,0.1,,,,19.59,195.9,5.104645227156713
AFLT,equity,0.01,10,0.1,,,,32.71,327.1,3.057169061449098
