ticker,t_minus_1,record_date,dividend_rub,source,accessed
LKOH,2026-01-09,2026-01-12,397,https://smart-lab.ru/q/LKOH/dividend/,2026-09-25
LKOH,2026-04-30,2026-05-04,278,https://smart-lab.ru/q/LKOH/dividend/,2026-09-25
SBER,2026-07-17,2026-07-20,37.64,https://smart-lab.ru/q/SBER/dividend/,2026-09-25
ROSN,2026-01-09,2026-01-12,11.56,https://smart-lab.ru/q/ROSN/dividend/,2026-09-25
ROSN,2026-07-08,2026-07-09,2.27,https://smart-lab.ru/q/ROSN/dividend/,2026-09-25
NVTK,2025-10-03,2025-10-06,35.5,https://smart-lab.ru/q/NVTK/dividend/,2026-09-25
NVTK,2026-04-10,2026-04-13,47.23,https://smart-lab.ru/q/NVTK/dividend/,2026-09-25
TATN,2025-10-13,2025-10-14,14.35,https://smart-lab.ru/q/TATN/dividend/,2026-09-25
TATN,2026-01-08,2026-01-11,8.13,https://smart-lab.ru/q/TATN/dividend/,2026-09-25
TATN,2026-07-14,2026-07-15,11.61,https://smart-lab.ru/q/TATN/dividend/,2026-09-25
PLZL,2025-10-10,2025-10-13,70.85,https://smart-lab.ru/q/PLZL/dividend/,2026-09-25
PLZL,2025-12-19,2025-12-22,36,https://smart-lab.ru/q/PLZL/dividend/,2026-09-25
PLZL,2026-05-15,2026-05-18,56.8,https://smart-lab.ru/q/PLZL/dividend/,2026-09-25
PLZL,2026-07-10,2026-07-13,29.05,https://smart-lab.ru/q/PLZL/dividend/,2026-09-25
VTBR,2026-07-17,2026-07-20,9.71,https://smart-lab.ru/q/VTBR/dividend/,2026-09-25
AFLT,2026-07-16,2026-07-17,5.29,https://smart-lab.ru/q/AFLT/dividend/,2026-09-25
