variant,total,sharpe,pmr,m_min,m_median,mdd,holdout_total
"BASE C1 (Трейдер, спред 1 шаг, проскальзывание 1 шаг)",0.08798245422354845,0.7752179061996562,0.5454545454545454,-0.03230143258455752,0.007788584822601186,0.08097642202691559,0.006770440087790928
проскальзывание ×0,0.09093932359997911,0.8013776208686714,0.5454545454545454,-0.03173392839708713,0.007849943863655447,0.08061227949481972,0.007001074624579187
проскальзывание ×2,0.08502419713927366,0.7490527405507896,0.5454545454545454,-0.032869543380343355,0.007727188658443943,0.08134021459250047,0.006539703236031112
проскальзывание ×3,0.08206457616059595,0.7228823601704821,0.5454545454545454,-0.03343825468230841,0.007665755808573432,0.08170365539027266,0.006308865312539978
проскальзывание ×5,0.07614133832912998,0.6705269005917368,0.5454545454545454,-0.03457745415894472,0.007542781807246183,0.08242947451873667,0.00584689124245533
"комиссия ×1,5",0.07865909674420737,0.6928433851314233,0.5454545454545454,-0.03396600554653757,0.007594410511444966,0.08213476368817785,0.005986954665294484
комиссия ×2,0.0693238458124508,0.6104182830488846,0.5454545454545454,-0.035633855515287687,0.007399859755724091,0.08329058479591661,0.005202459936102569
комиссия ×2 + проскальзывание ×3,0.06339079329194039,0.5580265814284263,0.5454545454545454,-0.03677647360121462,0.00704524234385772,0.08401419014579979,0.004739642095663935
"тариф Премиум (0,025%)",0.09496673273914244,0.8369617256104671,0.5454545454545454,-0.031055248210563716,0.007933959716046848,0.08010604072766121,0.007357366294097053
исполнение на 1 дн. позже,0.094857820041177,0.8397195572296492,0.5454545454545454,-0.026448005063995573,0.005429254416033504,0.06691801467426668,0.007562019094038014
исполнение на 2 дн. позже,0.09478817532138542,0.8273093258987148,0.5454545454545454,-0.029251103070164042,0.0032416650479004817,0.06501687407614423,0.002632591485288842
только P_TSMOM (12 конф.),0.0596016738958223,0.4911541265809157,0.5454545454545454,-0.053178468247944186,0.007460784580243061,0.10411495722087981,0.00568822267969144
только P_EMA (10 конф.),0.08843812015279799,0.8542158251500234,0.5454545454545454,-0.02514396854696916,0.006103203534120543,0.08247081385013255,0.009285193231544388
только P_BRK (8 конф.),0.08526765804221578,0.7307972052423619,0.5454545454545454,-0.0339365311996252,0.0038379752754468966,0.08172154227890846,0.004351378622869914
только vn=20,0.08828206258760855,0.8462253868653624,0.5454545454545454,-0.02403679338762341,0.006657075341029862,0.08393789050350761,0.003994006082042054
только vn=60,0.12857463198753039,1.2305022144250188,0.6,-0.030454236707036973,0.008140785627750545,0.07727154295710884,0.009484431465961425
только быстрые (окно ≤ 20),0.07187038173249638,0.651192716714328,0.6363636363636364,-0.03889593314947805,0.005952955648699743,0.09610480757340639,0.004006027278427948
только медленные (окно > 20),0.10126159222651396,0.8646601653345242,0.5454545454545454,-0.052146731913013625,0.010835482618598527,0.10590778007741694,0.00883456731308971
без Si,0.07273524376391259,0.6235570640076965,0.5454545454545454,-0.04245854683714538,0.0026763771965621908,0.08829094089648842,0.006202649617626637
без CR,0.07759840156251796,0.6652681919054428,0.5454545454545454,-0.041153292998745254,0.0016371503674677268,0.08485970983019277,0.005164484984901002
без RI,0.0965968500639261,0.8712909029079383,0.5454545454545454,-0.03812385261192332,0.0065283616383190485,0.08710439804309537,0.003773960576776738
без MX,0.08662909659599141,0.7718885363268566,0.45454545454545453,-0.03030073657561254,-0.0015600897432919147,0.08065805600504156,0.0053296659619558135
без BR,0.06208026140364563,0.5407894761092501,0.5454545454545454,-0.041738775234365456,0.005513617919465426,0.11247863625721337,0.007994342353547132
без GD,0.05623400419227231,0.49476685920037833,0.5454545454545454,-0.03982799074433072,0.009226379714241055,0.10015238488403444,0.013282732575067535
без SR,0.12167423323507187,1.098586902763912,0.5454545454545454,-0.02827639390471806,0.005694937087438423,0.07628564195013757,0.007344205660202128
без GZ,0.0816828854195906,0.7249892871453054,0.45454545454545453,-0.02904124537397665,-0.00037873492295332524,0.07559622749262906,-0.0019307083648007874
без RN,0.10976505489339913,0.9749261085406103,0.6363636363636364,-0.030491900974944093,0.010703800625817352,0.054257373326663375,0.011451929082708815
только длинные позиции,0.04270897271254218,0.36833737156072116,0.36363636363636365,-0.02153535754468068,-0.0142734711715179,0.07908856225231488,0.027702516842638907
только короткие позиции,0.05492730051638495,0.4721723926184005,0.36363636363636365,-0.05503044357680803,-0.002159961727289701,0.1422308545651642,0.0051429592971860205
без 1 лучших дней,0.04689883089149493,0.4399753265845647,0.5454545454545454,-0.03230143258455752,0.007788584822601186,0.08097642202691559,0.006770440087790928
