/home/user/invest_strategy/scripts/deep/a05_persistence.py:54: RuntimeWarning: Mean of empty slice
  ens_oos_mean=np.nanmean(ens), ens_pos_months=int(np.sum(np.array(ens) > 0)))
             family  tf  cls  configs  ic_mean  ic_pos_months  top_minus_bottom  ens_oos_mean  ens_pos_months  ens_202601  ens_202602  ens_202603  ens_202604  ens_202605  ens_202606
155           R_RSI   1   EQ     3456    0.992              6           270.323      -103.102               0     -98.454     -90.390    -107.810    -107.993    -102.257    -111.709
157           R_RSI   2   EQ     3456    0.988              6           202.038       -73.601               0     -67.527     -63.735     -77.095     -77.907     -73.878     -81.466
401    U_SIGNED_VOL   1   EQ     2592    0.982              6           128.922       -57.435               0     -51.703     -51.646     -57.363     -60.375     -59.745     -63.781
275           T_HMA   1   EQ     1080    0.982              6           122.261       -45.655               0     -43.907     -42.025     -45.130     -46.906     -47.065     -48.896
383           U_OBV   1   EQ      432    0.981              6            95.836       -42.937               0     -39.188     -40.192     -42.456     -43.852     -44.439     -47.496
159           R_RSI   3   EQ     3456    0.981              6           153.429       -53.774               0     -47.925     -45.525     -56.021     -56.962     -54.811     -61.401
156           R_RSI   1  FUT     5184    0.979              6            99.970       -58.607               0     -56.661     -49.187     -63.997     -61.008     -58.560     -62.230
158           R_RSI   2  FUT     5184    0.978              6            93.178       -44.851               0     -42.716     -38.398     -48.140     -46.656     -45.077     -48.119
455     V_RANGE_EXP   1   EQ     1296    0.978              6           101.283       -40.040               0     -37.364     -35.989     -39.338     -41.514     -42.695     -43.341
21          M_ACCEL   1   EQ      864    0.977              6           107.130       -73.504               0     -75.597     -66.874     -70.698     -73.093     -76.160     -78.601
347    T_SUPERTREND   1   EQ     1944    0.977              6            87.233       -42.424               0     -38.478     -39.662     -41.911     -44.208     -44.119     -46.167
437      V_NR_BREAK   1   EQ      648    0.977              6           124.392       -51.620               0     -47.341     -46.794     -51.800     -54.702     -52.632     -56.451
75             R_BB   1   EQ     3456    0.974              6           126.163       -57.271               0     -52.223     -49.148     -59.082     -60.048     -58.149     -64.975
221         T_DONCH   1   EQ     1080    0.973              6            83.977       -46.194               0     -40.477     -43.209     -46.670     -48.075     -48.047     -50.687
57          M_TSMOM   1   EQ     3888    0.972              6            89.979       -33.874               0     -31.437     -31.216     -32.890     -35.373     -35.430     -36.896
239    T_DONCH_STOP   1   EQ     1080    0.971              6            97.706       -49.635               0     -44.075     -47.149     -50.146     -51.764     -50.816     -53.862
93       R_BB_LIMIT   1   EQ     1944    0.971              6            86.222       -64.091               0     -55.756     -52.095     -66.226     -69.188     -65.213     -76.070
439      V_NR_BREAK   2   EQ      648    0.970              6            90.405       -34.137               0     -30.103     -32.275     -34.346     -36.527     -34.878     -36.691
365  U_BAR_PRESSURE   1   EQ      864    0.968              6           113.152       -68.101               0     -66.642     -64.694     -63.534     -70.174     -74.526     -69.036
160           R_RSI   3  FUT     5184    0.967              6            82.177       -35.882               0     -35.023     -30.834     -38.672     -36.743     -35.472     -38.545
329      T_PRICE_MA   1   EQ     2160    0.966              6            80.212       -49.351               0     -52.882     -45.429     -45.711     -47.381     -52.619     -52.082
402    U_SIGNED_VOL   1  FUT     3888    0.965              6            78.360       -38.149               0     -35.429     -34.417     -39.682     -40.381     -38.018     -40.970
403    U_SIGNED_VOL   2   EQ     2592    0.965              6            85.452       -34.160               0     -30.648     -30.628     -34.232     -36.111     -35.813     -37.524
161           R_RSI   5   EQ     3456    0.963              6            98.346       -34.305               0     -32.226     -29.435     -36.088     -35.631     -34.950     -37.500
385           U_OBV   2   EQ      432    0.962              6            61.664       -26.917               0     -24.552     -25.495     -26.660     -27.738     -28.196     -28.857
94       R_BB_LIMIT   1  FUT     2916    0.962              6            74.254       -51.110               0     -47.618     -42.482     -56.578     -53.662     -50.985     -55.337
