code,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
LKOH,16166.0,11835.0,0.5791297000422476,0.346092099704267,0.33955660220683004,2.28629457216338,6.858382624036591,0.027756395342294127,0.06911702577101816,0.9959893100522087
TATN,16166.0,11828.0,0.5989178221170105,0.2110246871829557,0.24731420014547512,1.4840337471409966,7.303724557309254,0.028125421282311436,0.015894487656408524,0.8916422040743411
GMKN,16166.0,11828.0,0.5733851876902266,0.24957727426445722,0.23498686199320856,1.67475740725216,7.839159369378377,0.022914779154234566,0.030013527223537367,0.7218781177324827
Si,31592.0,22644.0,0.56120826709062,0.2919537184243067,0.22124899490841624,1.88915564611736,4.5280801420768215,0.010234564338588825,0.03643349231584526,0.3725350630115111
ALRS,16166.0,11729.0,0.5303947480603632,0.36618637565009804,0.18880168459219532,2.7022837261840182,6.347166848693778,0.01639816905662883,0.0798021996760167,0.5672312843896774
GD,31592.0,22806.0,0.5559501885468736,0.2163027273524511,0.16499083398711295,1.5325858681659565,5.697565508754086,0.012920826146000763,0.018810839252828202,0.5341577628806929
CR,31592.0,22897.0,0.5385858409398612,0.25531729047473467,0.1280265064605742,1.68675141114266,4.600211573306111,0.005725186332711019,0.03100842905184085,0.19527601186289242
ROSN,16166.0,11819.0,0.5310093916575006,0.2778576867755309,0.12485513465316289,1.9918373130403022,6.9927524868541395,0.010925123351626098,0.05025805905744987,0.4760533736569397
RN,31592.0,22768.0,0.5323260716795503,0.24828706957132818,0.10958917213617185,1.73280945155096,6.713146776594302,0.009621217297080875,0.03210646521433591,0.40777480912305697
BR,31592.0,23314.0,0.5325555460238484,0.19224500300248779,0.08091152689454875,1.3760740290712745,3.7031455069501362,0.011511457239976153,0.006991507248863344,0.453747786021751
MGNT,16166.0,11760.0,0.514795918367347,0.2981292517006803,0.07074751729884002,2.288145806298961,7.406675132106352,0.00592153215984581,0.04175170068027211,0.2043784141664125
VTBR,16166.0,11819.0,0.5036805144259243,0.18174126406633387,0.010422927470139889,1.4901557654517876,7.647767567220545,0.0009663721721153706,0.028005753447838226,0.044161039899872044
MX,31592.0,22920.0,0.5016143106457243,0.21967713787085516,0.005541844868651419,1.5833323568280302,6.834361199043189,0.0002854677386494586,0.026614310645724257,0.011173293727947068
NVTK,16166.0,11836.0,0.4962825278810409,0.22051368705643798,-0.015111556406376875,1.652031702926367,8.45974755281878,-0.0012818480136047583,0.04106116931395742,-0.056333130601258496
PLZL,16166.0,11862.0,0.49274995784859216,0.23191704602933738,-0.026459250143267055,1.7166287187016143,8.615946618160601,-0.002266291263367748,0.025965267239925812,-0.08146771825671764
RI,31592.0,22892.0,0.4447842040887646,0.13611742093307705,-0.14337439204341446,1.199583994538863,4.0641751904516195,-0.011381920259736944,0.011182946007338808,-0.4917439682797425
AFLT,16166.0,11795.0,0.44552776600254346,0.2036456125476897,-0.20296435612848798,1.6653268301326714,6.855520362286334,-0.018551606026449008,0.03857566765578635,-0.7769372785222712
GZ,31592.0,23053.0,0.4312237019043075,0.21294408536849868,-0.2820626145046698,1.7450968349263762,8.069503529211044,-0.02131013455800712,0.03570034268858717,-1.0464110479684174
GAZP,16166.0,11800.0,0.4394915254237288,0.2523728813559322,-0.31431129779695044,2.1858620355757306,10.621683470000669,-0.022785614142776467,0.06694915254237288,-1.1800090566762922
SR,31592.0,23286.0,0.39109336081765866,0.14382032122305247,-0.32542218985150706,1.2959247900908248,5.395582636175244,-0.01844163153577938,0.03169286266426179,-0.724770774118409
SBER,16166.0,11808.0,0.38829607046070463,0.20020325203252032,-0.4908765391488865,1.877655211248493,9.277303553168094,-0.024841838370775804,0.0768970189701897,-1.1499764500530254
