family,tf,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
C_CARRY,1440,162.0,2.0,0.0,0.0,-0.8243571133087875,-0.6982654280988427,-0.6667425067963566,-0.22222911726021266,0.0,-222.22911726457755
I_DOW,1440,420.0,90.0,0.5,0.18888888888888888,0.0,1.545896043891385,2.20402468253009,0.0,0.011111111111111112,0.0
I_ORB,5,3024.0,3024.0,0.6322751322751323,0.3247354497354497,0.4411740892280027,2.098885221528428,4.720773757936826,0.03717250098270597,0.05853174603174603,1.2730685896896117
I_ORB,15,3024.0,3024.0,0.6838624338624338,0.37632275132275134,0.6061244021533566,2.164267463752363,4.711922852229826,0.05877342447274714,0.0625,3.0240239353441583
I_PDAY_BRK,5,504.0,488.0,0.35655737704918034,0.1885245901639344,-0.6830480507722817,1.6152276243287331,3.5500586678628485,-0.035000935260541155,0.01639344262295082,-3.2517592654602994
I_PDAY_BRK,15,504.0,488.0,0.32991803278688525,0.1557377049180328,-0.8358245228607026,1.3909149067588067,3.4820995288969034,-0.05672651715576649,0.004098360655737705,-5.6479259484577335
I_PDAY_BRK,60,504.0,487.0,0.3264887063655031,0.17248459958932238,-0.6447838310715056,1.442550554919111,2.9691698348828774,-0.07175570113759404,0.006160164271047228,-7.0462909745190085
M_ACCEL,5,2160.0,2160.0,0.3787037037037037,0.1597222222222222,-0.45996594414304126,1.4185782839539132,3.625851626479063,-0.04774376671957725,0.020370370370370372,-0.3052649086641352
M_ACCEL,15,2160.0,2160.0,0.5078703703703704,0.1865740740740741,0.02830965274525503,1.555668887270886,3.4189200408646405,0.0029166703635041813,0.012962962962962963,0.048296693660994025
M_ACCEL,60,2160.0,2160.0,0.5736111111111111,0.2638888888888889,0.22886194839109789,1.7820764061814303,3.5573204595170735,0.02451266350590231,0.026851851851851852,1.4993842527337586
M_ACCEL,1440,2160.0,209.0,0.69377990430622,0.33014354066985646,0.5680913929351346,1.5329339370284414,2.7937225598364788,0.061528635007562116,0.0,46.504739484901386
M_ROC_VOTE,5,4320.0,4320.0,0.42916666666666664,0.19050925925925927,-0.28660704442185486,1.5650250921707984,3.6243599441859877,-0.02818506339463056,0.018287037037037036,-0.3001951244710253
M_ROC_VOTE,15,4320.0,4320.0,0.524074074074074,0.22870370370370371,0.07164832860463374,1.708644862827804,3.8574628280398673,0.007369786755134555,0.02939814814814815,0.23588114469734872
M_ROC_VOTE,60,4320.0,4320.0,0.6034722222222222,0.2814814814814815,0.34426976124318553,1.7361855343157953,3.664840436635293,0.033645803210674785,0.028009259259259258,2.9184680473375435
M_ROC_VOTE,1440,4320.0,128.0,0.6953125,0.21875,0.437418907368914,1.2803785573714652,2.4494217062847556,0.04791769952134928,0.0,36.284836860828236
M_TSMOM,5,9720.0,9426.0,0.4327392319117335,0.1950986632718014,-0.2561716024733287,1.520677237293825,5.8860765850124235,-0.023407836622936884,0.0183534903458519,-0.44279518712368504
M_TSMOM,15,9720.0,9409.0,0.5026038898926559,0.21011797215432032,0.006529353681897453,1.5206431685230009,4.459126727707446,0.0005814547184854746,0.015410776915718993,0.03120180626233421
M_TSMOM,60,9720.0,9129.0,0.5429948515719136,0.23671815094752985,0.13779795939375808,1.6815313668549459,4.165700595931764,0.012314596504438668,0.016978858582539162,1.424817677503439
M_TSMOM,1440,9720.0,295.0,0.6338983050847458,0.2983050847457627,0.2802258424389863,1.5828692497670724,3.128875802747236,0.0397309481195407,0.003389830508474576,25.172311606692297
R_BB,5,8640.0,8100.0,0.5335802469135802,0.2946913580246914,0.1290551598951706,2.3819782046573947,7.584030388027705,0.009180621977975534,0.09123456790123456,0.18757929475687077
R_BB,15,8640.0,8100.0,0.4662962962962963,0.22012345679012346,-0.11894003008727627,1.7629369741207492,6.256492385761382,-0.008518199105310487,0.053580246913580244,-0.43502196201408977
R_BB,60,8640.0,7792.0,0.37063655030800824,0.1205082135523614,-0.4230849231177367,1.148980263334937,4.082819153388074,-0.028057047311449423,0.023998973305954824,-5.099368914118307
R_BB,1440,8640.0,171.0,0.49122807017543857,0.26900584795321636,-0.12017275321424217,2.040806249087357,3.333633708970023,-0.014061434034374543,0.029239766081871343,-6.113666699574603
R_BB_LIMIT,5,4860.0,4860.0,0.4440329218106996,0.18518518518518517,-0.16416509938960763,1.6192380095371812,5.03526793564478,-0.015127054360391412,0.04465020576131687,-0.11182655149834027
R_BB_LIMIT,15,4860.0,4860.0,0.47057613168724277,0.21419753086419754,-0.09586468879060112,1.719865382021541,5.63106620151504,-0.008815481383180668,0.0639917695473251,-0.1882509058153376
R_BB_LIMIT,60,4860.0,4860.0,0.3487654320987654,0.1273662551440329,-0.44658548193992764,1.184299017314014,3.9181000811471467,-0.04352654455760785,0.03559670781893004,-3.5477866900102746
R_BB_LIMIT,1440,4860.0,405.0,0.36049382716049383,0.1111111111111111,-0.2826918079715508,1.0667616190436644,2.641524410124983,-0.0305503556955955,0.04938271604938271,-22.183460011829855
R_EXTREME,5,6480.0,6414.0,0.5049890863735579,0.22669161209853445,0.017548920982742286,1.7169421146990143,5.451802449067729,0.0006111131151556037,0.03850951044589959,0.04105628819518656
R_EXTREME,15,6480.0,5930.0,0.527150084317032,0.2327150084317032,0.08058255494442385,1.6567806893454744,4.311932400043563,0.0033922036818694323,0.03456998313659359,0.46102217260449446
R_EXTREME,60,6480.0,4191.0,0.40133619661178715,0.1481746599856836,-0.29554640934200105,1.2811263477557928,3.3011946108862262,-0.014818245253991336,0.026246719160104987,-4.622230973295512
R_EXTREME,1440,6480.0,6.0,0.0,0.0,-0.516538849014898,-0.18631557048619926,-0.17561348478728803,-0.1211817282019183,0.0,-93.21671514634725
R_GAP_FADE,5,1134.0,198.0,0.5,0.19696969696969696,-0.0022228835682380783,1.432729770481237,2.3221202050390772,3.711471799761057e-05,0.0,-0.052141475957443506
R_GAP_FADE,15,1134.0,198.0,0.5959595959595959,0.2777777777777778,0.2353769247251269,1.7098143434381885,2.4815456384289107,0.009537787176668644,0.0,5.314806974949635
R_GAP_FADE,60,1134.0,198.0,0.6565656565656566,0.3282828282828283,0.4342814479776941,1.6780234137058225,2.451932613366169,0.01645982799527701,0.0,13.815210777088408
R_MA_DEV,5,4860.0,4860.0,0.6211934156378601,0.36234567901234566,0.44996861794920684,2.6315137496019214,7.354358847135183,0.03415275647876115,0.11522633744855967,0.6350767428289379
R_MA_DEV,15,4860.0,4860.0,0.4185185185185185,0.18189300411522633,-0.2727706159517037,1.6249006397918215,4.5762769169774655,-0.01962977015591605,0.04814814814814815,-0.9946041587326783
R_MA_DEV,60,4860.0,4859.0,0.44412430541263637,0.17802016875900392,-0.16288349991849307,1.4669484558929446,4.117126547874774,-0.012945857073646039,0.029018316526034163,-1.8795276184048593
R_MA_DEV,1440,4860.0,125.0,0.552,0.28,0.24402764899403584,2.7053170507890663,3.4085719108070576,0.02487385655695107,0.0,21.852183247031988
R_RSI,5,8640.0,7668.0,0.7566510172143975,0.5298643714136672,1.1343886370896628,4.514795773403969,10.621683470000669,0.07404488314159607,0.23435054773082942,0.7916958619502472
R_RSI,15,8640.0,7538.0,0.7027062881400902,0.41576014858052535,0.69858284777697,2.7110619137045173,6.3769255731607615,0.04210135398898274,0.11634385778721146,1.2038667711853406
R_RSI,60,8640.0,6923.0,0.491838798208869,0.2513361259569551,-0.02040623944378654,2.0643836358601213,5.773224762900598,-0.0015129705425351858,0.07164524050267225,-0.15099955095199608
R_RSI,1440,8640.0,968.0,0.4359504132231405,0.18388429752066116,-0.16700958196047022,1.6126440023012885,3.02875902361532,-0.01592784293461591,0.045454545454545456,-8.007147729995603
R_VOLSPIKE_FADE,5,2160.0,2160.0,0.42268518518518516,0.14907407407407408,-0.22917511012556263,1.3227696383568313,4.139231951657297,-0.010942336464722757,0.01574074074074074,-0.4216882865456157
R_VOLSPIKE_FADE,15,2160.0,2160.0,0.5282407407407408,0.18564814814814815,0.09134828747894115,1.3882718536469196,3.434517238980775,0.0041567705993657,0.012037037037037037,0.607632286373626
R_VOLSPIKE_FADE,60,2160.0,1790.0,0.4195530726256983,0.13743016759776536,-0.2429240221822901,1.2277066162177295,2.82536692031732,-0.011033289134502411,0.012290502793296089,-4.878647562849614
R_VWAP,5,2268.0,2268.0,0.36155202821869487,0.14153439153439154,-0.45973552559060604,1.2914209255792426,4.705198561618956,-0.026135153028917557,0.02821869488536155,-1.439540312621448
R_VWAP,15,2268.0,2264.0,0.34363957597173145,0.0989399293286219,-0.48916560760856587,0.9902611894928365,2.616603787933467,-0.025555420230375603,0.009717314487632508,-3.1118568039126937
T_ADX,5,3240.0,3240.0,0.3351851851851852,0.10648148148148148,-0.5620316259050846,1.0319407890543162,3.1018123885150026,-0.03869446502721985,0.004629629629629629,-1.049651740746668
T_ADX,15,3240.0,3240.0,0.4888888888888889,0.18796296296296297,-0.04773206946288034,1.4249396505767074,2.957036754903156,-0.002930271606601309,0.01728395061728395,-0.23291886477699153
T_ADX,60,3240.0,3067.0,0.5122269318552332,0.20541245516791654,0.04678014082556089,1.5362520258429448,3.4309743095426612,0.0033964295143960044,0.0058689272905119005,0.6363836813513537
T_ADX,1440,3240.0,34.0,0.6470588235294118,0.3235294117647059,0.5206424306300981,1.6937787538702016,2.129495245389669,0.05888617778691696,0.0,49.07181414104766
T_DONCH,5,2700.0,2700.0,0.3174074074074074,0.0974074074074074,-0.6442132291945877,0.9779875518279229,3.864306516956565,-0.05884013316472192,0.006296296296296296,-1.0339548454903984
