code,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
BR,71334.0,62141.0,0.12357380795288135,0.035596466101285786,-2.501928652745466,0.2017940274653367,3.1300443016311497,-0.4120025425982021,0.00037012600376562976,-12.178797328814307
RN,71334.0,60965.0,0.11790371524645288,0.040285409661281066,-2.983698941547088,0.1798214202053368,3.195301268142815,-0.3076206061305129,0.0008529484130238662,-9.095109125016911
GD,71334.0,61100.0,0.1178887070376432,0.02469721767594108,-3.5089107640664645,0.15006691155870686,3.0994513558821146,-0.276987455188646,0.000900163666121113,-8.528327212584449
RI,71334.0,61084.0,0.03971580119180145,0.004059982974264947,-4.3777050983451575,-0.6071581778303268,2.369458306365463,-0.3842383657611208,8.185449544889005e-05,-11.269955982826621
NVTK,36550.0,31854.0,0.05424750423808627,0.008852891316632134,-4.413085310961765,-0.5516016221583433,2.3862500632688257,-0.5267922452267157,0.00018835938971557733,-12.846981546057917
GZ,71334.0,61327.0,0.07455117648018002,0.017105027149542616,-4.4282042440819716,-0.2964228560517857,2.9472017204744207,-0.40728491856134497,0.0002608965056174279,-11.226145264494022
TATN,36550.0,31832.0,0.040211108318673035,0.003926866046745413,-4.758923305875198,-0.6188178578710295,3.061105190783513,-0.6273563461600133,9.424478512188992e-05,-14.924670788491966
LKOH,36550.0,31906.0,0.08333855701122046,0.020685764433022003,-4.908714089084891,-0.17130492167476974,3.3290440009293674,-0.5021755324851256,0.0003447627405503667,-12.526148283797706
VTBR,36550.0,31847.0,0.040474769994033974,0.007755832574496813,-4.964859551044299,-0.6920955059713247,2.5777987374301676,-0.4782491193545866,0.000314001318805539,-12.171614431221421
GMKN,36550.0,31811.0,0.04507874634560372,0.013548772437207255,-4.996570944437013,-0.7230138185862215,2.9724284056664625,-0.5581089885527035,0.00031435666907673446,-14.249634300036558
MX,71334.0,61168.0,0.06003138896154852,0.011574679571017526,-5.005823801673463,-0.5376639873932361,3.0656891599737217,-0.3718843940595207,0.0003760136018833377,-11.072122996624206
PLZL,36550.0,31883.0,0.07351880312392184,0.01621553806103566,-5.057016424604929,-0.32671188791527334,2.82209435490185,-0.5529285130469361,0.0008468462817175297,-12.951407111783787
SR,71334.0,61651.0,0.035052148383643414,0.008450795607532724,-5.094102501496565,-0.8877261739077328,3.3525077288399387,-0.33034008881804766,0.0009083388752818283,-9.324666800630082
Si,71334.0,60818.0,0.09074616067611563,0.029941793547962774,-5.122484883548874,-0.12460579047505606,3.4888192257634536,-0.2781097011179554,0.0010852050379821763,-8.33866396158351
ROSN,36550.0,31866.0,0.06747003075378145,0.016130044561601706,-5.238758700885628,-0.4056667159816938,2.8359254807404777,-0.6037937760147543,0.000564865373752589,-13.761816220646223
GAZP,36550.0,31799.0,0.044215226893927484,0.007515959621371741,-5.853034701169426,-0.8301306048242746,2.573782500879093,-0.5752361753329751,0.00044026541715148275,-13.321763988863555
CR,71334.0,61134.0,0.062044034416200475,0.01454182615238656,-6.38868603709331,-0.549538745611343,3.055650159504306,-0.3557588169799146,0.0005234403114469853,-10.822741484271953
AFLT,36550.0,31788.0,0.022964640744935195,0.0028627154901220584,-6.531876172603797,-1.1875669536129663,2.8654628282496106,-0.7961926935049632,0.00012583364791745311,-18.622900528612632
MGNT,36550.0,31724.0,0.05614046148026731,0.020741394527802295,-6.7952906405395375,-0.7865624933792018,2.984570764394371,-0.757186370117779,0.00034674063800277393,-17.358120856187185
SBER,36550.0,31801.0,0.01795541020722619,0.0035219018269865726,-7.424700789883352,-1.6109873062396203,2.9714050307083784,-0.4933694846731669,0.00037734662431998994,-11.570111665939239
ALRS,36550.0,31681.0,0.06742211420094063,0.027903159622486663,-7.601517418308401,-0.6883936280908288,3.245307352292684,-0.9326600655913353,0.000252517281651463,-22.049813276807686
