group,family,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
meanrev,R_GAP_FADE,4536.0,792.0,0.36742424242424243,0.1527777777777778,-0.4269330909966771,1.2360807640215254,2.166900851638787,-0.012294745814870112,0.0,-8.1814524811005
seasonal,I_DOW,420.0,90.0,0.28888888888888886,0.14444444444444443,-0.572630376343412,1.1790559457338936,1.8309997558730537,-0.03902455522029413,0.011111111111111112,-10.0099981034659
carry,C_CARRY,162.0,2.0,0.0,0.0,-0.8781877899920167,-0.7689214262728172,-0.7416048353430174,-0.2329792109576374,0.0,-232.97921762700406
volatility,V_REGIME_TREND,29160.0,25371.0,0.12939970832840644,0.03831145796381696,-2.80666052137455,0.2692349490151208,3.195301268142815,-0.19407836779009813,3.9415080209688224e-05,-10.889101080872921
intraday,I_PDAY_BRK,2016.0,1951.0,0.11635058944131214,0.025115325474115838,-2.90180441265592,0.15853241116783384,2.3886052834541354,-0.15127079152443912,0.0005125576627370579,-16.10077574534701
trend,T_EMA_X,82620.0,71242.0,0.09996911933971533,0.02850846410825075,-2.9924672568829482,-0.0006230444380753247,3.0647316756055667,-0.2810351774569426,0.00022458662025209847,-11.728369426621779
volatility,V_RANGE_EXP,29160.0,25192.0,0.09598285169895204,0.022983486821213085,-3.2468666672762376,-0.04025310049642611,3.245307352292684,-0.37979115560398213,0.0005557319784058432,-11.341062103365589
momentum,M_TSMOM,87480.0,75310.0,0.09014739078475634,0.02408710662594609,-3.5430377023894715,-0.10049951620644539,3.080457898508324,-0.3945483498464455,0.0002788474306201036,-11.655469158280155
intraday,I_ORB,9072.0,9072.0,0.06867283950617284,0.01179453262786596,-3.601068188291129,-0.3014086839971212,2.984570764394371,-0.33691000986164,0.0005511463844797178,-10.78564611844628
meanrev,R_EXTREME,58320.0,47329.0,0.08212723700057048,0.021994971370618437,-3.686418847822817,-0.1970523854314196,3.3525077288399387,-0.18530710612776602,0.0017959390648439645,-11.371034373397944
meanrev,R_VWAP,15876.0,15762.0,0.038827559954320516,0.007740134500697881,-3.830720254921165,-0.8436062834186175,2.3762994280625933,-0.2767094664013712,0.0002537749016622256,-13.53844052639868
trend,T_SUPERTREND,43740.0,37911.0,0.09675292131571311,0.027538181530426524,-3.9141510414090988,-0.030413349680215602,3.0656891599737217,-0.5026597690593917,0.00023739811664160799,-11.983486932783563
meanrev,R_VOLSPIKE_FADE,17280.0,16850.0,0.055311572700296734,0.010682492581602374,-4.185320108441285,-0.4770210085599259,2.558665783543725,-0.22705185547238216,5.934718100890208e-05,-11.4613947815226
trend,T_ADX,29160.0,25759.0,0.06048371442990799,0.01086998718894367,-4.254971234309491,-0.4418803322624943,2.9350528667286357,-0.33488151517303777,0.0003493924453589037,-12.32913444377439
