family,tf,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
C_CARRY,1440,162.0,2.0,0.0,0.0,-0.8781877899920167,-0.7689214262728172,-0.7416048353430174,-0.2329792109576374,0.0,-232.97921762700406
I_DOW,1440,420.0,90.0,0.28888888888888886,0.14444444444444443,-0.572630376343412,1.1790559457338936,1.8309997558730537,-0.03902455522029413,0.011111111111111112,-10.0099981034659
I_ORB,1,3024.0,3024.0,0.046296296296296294,0.009259259259259259,-8.35394666141503,-0.7479835154085285,2.4911517070180977,-0.6726750969551176,0.0,-11.472246829676775
I_ORB,5,3024.0,3024.0,0.051587301587301584,0.00992063492063492,-3.8391452024160495,-0.5521316060093253,2.512154964890398,-0.33552514969414915,0.0006613756613756613,-11.092468704367903
I_ORB,15,3024.0,3024.0,0.10813492063492064,0.016203703703703703,-1.8677499880165573,0.057209431226973695,2.984570764394371,-0.1783923731654795,0.000992063492063492,-9.19168491190989
I_OVERNIGHT,1,240.0,240.0,0.025,0.008333333333333333,-26.052979450998194,-2.2346854011593402,1.1945373361390392,-0.22007888732434822,0.0,-11.28497551065223
I_PDAY_BRK,1,504.0,488.0,0.09016393442622951,0.012295081967213115,-4.53164608679163,-0.23532543528005173,1.7427417916000363,-0.13129269023193046,0.0,-14.175244345179228
I_PDAY_BRK,5,504.0,488.0,0.10450819672131148,0.020491803278688523,-3.257648883964027,0.12481558878214172,1.7427417916000363,-0.1462456646913779,0.0,-15.87355359067798
I_PDAY_BRK,15,504.0,488.0,0.1168032786885246,0.028688524590163935,-2.817616508591005,0.15551209212052713,2.203976633771105,-0.17933959531183064,0.0020491803278688526,-18.464114195283475
I_PDAY_BRK,60,504.0,487.0,0.1540041067761807,0.039014373716632446,-1.713305114302031,0.46774100978849836,2.3886052834541354,-0.17933700152207166,0.0,-20.561411914803507
I_TOD,1,5544.0,5256.0,0.02073820395738204,0.0036149162861491627,-4.4854470458462306,-1.458658682021004,2.0609714806209656,-0.22470311744189075,0.0,-11.922851578417289
M_ACCEL,1,2160.0,2160.0,0.0,0.0,-43.3276732477961,-24.915477876432032,-8.046017962774151,-8.619938913499936,0.0,-11.187944368600489
M_ACCEL,2,2160.0,2160.0,0.0,0.0,-28.952342853192082,-15.571487458018241,-5.512127274512657,-4.478224007209064,0.0,-11.278021879284942
M_ACCEL,3,2160.0,2160.0,0.0,0.0,-21.617157140668766,-11.225117580052347,-3.2214931004912053,-3.008398044297792,0.0,-11.303976332738825
M_ACCEL,5,2160.0,2160.0,0.0,0.0,-14.825242225751978,-6.166774957417281,-0.5451139678563326,-1.8113240079401294,0.0,-11.47448889300246
M_ACCEL,10,2160.0,2160.0,0.000462962962962963,0.0,-7.874401283828015,-2.9961290116556047,0.10503685480258747,-0.9073034702632867,0.0,-11.670870615047603
M_ACCEL,15,2160.0,2160.0,0.009259259259259259,0.001851851851851852,-5.493836720567684,-1.8242180032695914,1.6536752598743962,-0.615284528783377,0.0,-11.0866523711771
M_ACCEL,30,2160.0,2160.0,0.0375,0.0023148148148148147,-2.8333020749257076,-0.6583249205117049,1.6106971794514682,-0.3115838951318892,0.000462962962962963,-10.793405978135283
M_ACCEL,60,2160.0,2160.0,0.10092592592592593,0.008333333333333333,-1.5425632050408644,0.005923218045861254,1.577458687069157,-0.16711155443408643,0.000462962962962963,-9.98369891401427
M_ACCEL,1440,2160.0,209.0,0.6363636363636364,0.2583732057416268,0.4752366629699555,1.4159235814520885,2.731151367813993,0.04865067460559658,0.0,35.910526028207684
M_ROC_VOTE,1,4320.0,4320.0,0.0,0.0,-32.69073264558743,-16.540966064751526,-5.1385319616512835,-5.1575007413484855,0.0,-11.433012504600892
M_ROC_VOTE,2,4320.0,4320.0,0.0,0.0,-20.388061797120656,-9.160705719123872,-2.057622110782507,-2.6717188345937757,0.0,-11.504421223147267
M_ROC_VOTE,3,4320.0,4320.0,0.0,0.0,-15.132140319946316,-6.481721907637387,-0.7816553133570383,-1.8101003181109263,0.0,-11.852901639091233
M_ROC_VOTE,5,4320.0,4320.0,0.005555555555555556,0.001388888888888889,-9.68675444173838,-3.6413174928470458,1.193763102023998,-1.0872565342724556,0.0,-11.543117411014975
M_ROC_VOTE,10,4320.0,4320.0,0.016435185185185185,0.0032407407407407406,-5.217486953529121,-1.7013534955208927,1.790602913092191,-0.5576258985838649,0.0,-11.712346363285569
M_ROC_VOTE,15,4320.0,4320.0,0.03148148148148148,0.0016203703703703703,-3.478837281064735,-0.9690237812444109,1.626359199059195,-0.34871531712178694,0.000462962962962963,-11.189602954305462
M_ROC_VOTE,30,4320.0,4320.0,0.07476851851851851,0.00949074074074074,-1.9626828602980457,-0.2152049282377138,1.9326788517048754,-0.18995300457754638,0.0,-11.106612246132157
M_ROC_VOTE,60,4320.0,4320.0,0.23078703703703704,0.053703703703703705,-0.9371576930334613,0.6475077684291661,2.6852156524700805,-0.09343878260915517,0.001388888888888889,-8.925786308364561
M_ROC_VOTE,1440,4320.0,128.0,0.6328125,0.1953125,0.3061715014282248,1.2302723520905448,2.3850932462498595,0.03361388973416979,0.0,25.964039439881375
M_TSMOM,1,9720.0,9432.0,0.039546225614927905,0.012298558100084818,-17.616749141632667,-1.70628810618963,2.780156986588041,-2.2830426811269717,0.0,-11.603948772626888
M_TSMOM,2,9720.0,9432.0,0.043044953350296865,0.012828668363019508,-10.611688153895852,-1.2491566820047262,2.9603101482172356,-1.2463543758640299,0.0,-11.742685846678523
M_TSMOM,3,9720.0,9432.0,0.04601357082273113,0.012934690415606446,-7.789281502126226,-1.0987680761198793,2.784867093799135,-0.865320292250118,0.0,-11.77483888134061
M_TSMOM,5,9720.0,9427.0,0.048902089742229767,0.014532725151161557,-5.264290912408598,-0.8188108884634748,2.7923442376465237,-0.5457763844315195,0.0,-11.849754894656128
M_TSMOM,10,9720.0,9414.0,0.0626726152538772,0.01561504142766093,-3.1664438404863997,-0.4523211348303224,2.9607499434281053,-0.31384290266942116,0.0,-11.975755898082456
M_TSMOM,15,9720.0,9409.0,0.08109257094271442,0.01753640131788713,-2.394173656692973,-0.18074235092991534,2.5341010957948322,-0.22550870393365585,0.0,-11.60094318743966
M_TSMOM,30,9720.0,9336.0,0.1567052270779777,0.037382176520994,-1.4902370862749663,0.3703900131683139,2.842443778344077,-0.13591392001399072,0.0006426735218508997,-11.363651787851966
M_TSMOM,60,9720.0,9133.0,0.23365816270666812,0.06350596737107193,-0.9598119020609474,0.6927926760419741,2.673451148588138,-0.0869537164180656,0.0016423957078725501,-10.33507798662052
M_TSMOM,1440,9720.0,295.0,0.559322033898305,0.26101694915254237,0.16529802088609938,1.4303050206608494,3.080457898508324,0.021195407960476587,0.0,14.550143905138189
R_BB,1,8640.0,8232.0,0.0,0.0,-26.983809957884255,-10.177164509922251,-1.3883493977649668,-2.564511146658333,0.0,-10.960248809757472
R_BB,2,8640.0,8106.0,0.0,0.0,-15.819810723566286,-6.434025129640616,-0.8908189543214837,-1.3252478060676367,0.0,-10.927288399750196
R_BB,3,8640.0,8100.0,0.0011111111111111111,0.0,-11.267456854957427,-4.553803128883019,0.9423519589685342,-0.9174113108233541,0.0,-10.921362347272446
R_BB,5,8640.0,8100.0,0.0024691358024691358,0.0,-7.41418257410718,-2.9366520550010806,0.7557817651574243,-0.5813623465965065,0.0,-11.273612387891944
R_BB,10,8640.0,8100.0,0.009259259259259259,0.00037037037037037035,-4.023130619418581,-1.441905014855839,1.5585437212278797,-0.3125732085100026,0.0,-11.686779202611847
R_BB,15,8640.0,8100.0,0.027654320987654323,0.0030864197530864196,-3.039816765699867,-0.9195921955648356,2.868353637169885,-0.2305898119475387,0.0002469135802469136,-12.119186617712938
R_BB,30,8640.0,8097.0,0.07360750895393356,0.006669136717302705,-1.9372403130230276,-0.18579157613478378,1.977796202271055,-0.1411271083907195,0.0006175126590095097,-13.389889140025588
R_BB,60,8640.0,7794.0,0.14485501667949705,0.029638183217859892,-1.4103384457128194,0.28987760770571175,3.152909426943429,-0.09504726108934847,0.004105722350526046,-16.724837844153186
R_BB,1440,8640.0,171.0,0.4678362573099415,0.21052631578947367,-0.21978035488673758,1.8656121993205992,3.0736289028687427,-0.030403053562622517,0.029239766081871343,-16.66715055221437
R_BB_LIMIT,1,4860.0,4860.0,0.0,0.0,-39.67888329920008,-18.44182658376245,-4.329592247611752,-5.910176471457817,0.0,-9.895345223827158
R_BB_LIMIT,2,4860.0,4860.0,0.0,0.0,-24.898170069480088,-10.908417512889184,-3.350744644360382,-3.165417653392069,0.0,-9.98746927861597
R_BB_LIMIT,3,4860.0,4860.0,0.0,0.0,-18.03178227577718,-7.83635924495943,-1.9065424232523465,-2.1851788341045904,0.0,-9.989368569791129
R_BB_LIMIT,5,4860.0,4860.0,0.0,0.0,-11.745168821607837,-5.229290835052478,-1.096151541477315,-1.3536678384134575,0.0,-10.084477217261615
R_BB_LIMIT,10,4860.0,4860.0,0.0006172839506172839,0.0,-6.482854586283328,-2.805701853565227,0.8215182786391747,-0.7184360667715737,0.0,-10.1898208305146
R_BB_LIMIT,15,4860.0,4860.0,0.006790123456790123,0.0008230452674897119,-4.585527949270488,-1.9027498188443532,1.459300007427268,-0.5179550282823584,0.0,-10.483209879607664
R_BB_LIMIT,30,4860.0,4860.0,0.03518518518518519,0.0034979423868312758,-2.6865767403359766,-0.7814346196665609,1.6062696084680688,-0.29445666366882506,0.0008230452674897119,-11.67589259928518
R_BB_LIMIT,60,4860.0,4860.0,0.0831275720164609,0.007818930041152264,-1.7791403081740877,-0.1428715199546473,1.9458899921810036,-0.18590306845726445,0.0008230452674897119,-13.94414159625529
R_BB_LIMIT,1440,4860.0,405.0,0.3160493827160494,0.08395061728395062,-0.38297892665315225,0.9160214061840921,2.4034059733208237,-0.043124081450514495,0.03209876543209877,-30.90702919169879
R_EXTREME,1,6480.0,6480.0,0.0006172839506172839,0.0,-14.218526956334596,-4.208432798726232,0.3435180017240085,-0.7887661899148952,0.0,-10.951425864889705
R_EXTREME,2,6480.0,6480.0,0.005092592592592593,0.002623456790123457,-8.997559602543763,-3.172476290862617,2.7141416427225287,-0.4676944455841294,0.0,-11.40617011869064
