code,tf,family,group,params,exit,eod,direction,trades,win,pf,avg_trade,hold_bars,total,sharpe,sortino,mdd,pmr,m_min,m_median,m_mean,m_std,score,m202510,m202511,m202512,m202601,m202602,m202603,m202604,m202605,m202606
Si,1440,V_NR_BREAK,volatility,"{""n"": 14}",X3,False,0,11,0.6363636363636364,11.536104840493717,0.021885387641641905,8.090909090909092,0.2407392624336353,3.4888192257634536,6.784638821637855,0.032365443443268305,0.8888888888888888,-0.012321562648139661,0.03284462611190975,0.026748806937070588,0.019613308286382945,0.04363770725036086,0.03284462611190975,0.00096858199685812,0.027210507512791082,0.022782010259106755,-0.012321562648139661,0.03297480731271207,0.038661258353386074,0.054461768944747746,0.04315726459026337
SR,15,R_EXTREME,meanrev,"{""m"": 5, ""z"": 4.0}",X0,False,0,37,0.7567567567567568,4.59736257762419,0.0020945206059710857,12.45945945945946,0.07749726198380813,3.3525077288399387,10.742050048562804,0.005967376288026571,1.0,0.00020269921515136957,0.006838505272753537,0.008610806887089793,0.0061525297973685006,0.07358878811306996,0.022257991950027645,0.004118674551136792,0.00424289470538497,0.013467870652675629,0.0054644583142362535,0.00020269921515136957,0.009720465401187539,0.011183701921254396,0.006838505272753537
LKOH,60,T_KELTNER,trend,"{""k"": 1.0, ""n"": 100}",X3,True,-1,79,0.569620253164557,2.306530662042364,0.002942883508639202,8.278481012658228,0.2324877991050016,3.3290440009293674,7.866234405433039,0.036387425076100044,0.7777777777777778,-0.006749197491444647,0.026409252546727657,0.025831977678333513,0.033248011061642366,-0.017497904734292493,0.10617655812529847,0.039247975568287075,0.0007779254228807986,0.02878223266452551,-0.0033274065208388492,-0.006749197491444647,0.0017433960601920262,0.039427062729373574,0.026409252546727657
SR,1440,R_MA_DEV,meanrev,"{""k"": 1.0, ""n"": 50}",X1,False,0,14,0.8571428571428571,15.068497090193535,0.02122774278096625,6.642857142857143,0.2971883989594062,3.264260020258554,9.153092995642721,0.03175031300634146,0.7777777777777778,-0.003270266461186111,0.021209219412412494,0.033020933217711795,0.05339933237132054,-0.030594196611438258,0.1798560245297267,0.024336729547940195,0.0018099974258802831,0.012966676134965383,0.021209219412412494,0.028315512754488736,0.03318401298020035,-0.0012195073650218546,-0.003270266461186111
SR,1440,R_MA_DEV,meanrev,"{""k"": 1.0, ""n"": 50}",X3,False,0,14,0.8571428571428571,15.068497090193535,0.02122774278096625,6.642857142857143,0.2971883989594062,3.264260020258554,9.153092995642721,0.03175031300634146,0.7777777777777778,-0.003270266461186111,0.021209219412412494,0.033020933217711795,0.05339933237132054,-0.030594196611438258,0.1798560245297267,0.024336729547940195,0.0018099974258802831,0.012966676134965383,0.021209219412412494,0.028315512754488736,0.03318401298020035,-0.0012195073650218546,-0.003270266461186111
ALRS,15,V_RANGE_EXP,volatility,"{""fade"": 0, ""k"": 3.0}",X0,True,-1,49,0.6326530612244898,3.585247174717438,0.006048710184520542,48.87755102040816,0.29638679818890523,3.245307352292684,10.584834052100687,0.038149917498230934,0.8888888888888888,-0.0060300929471850395,0.02067772892769426,0.03293186646543392,0.027563641840352707,0.024585549692501263,0.054344580668839626,-0.0060300929471850395,0.02067772892769426,0.01279943692497909,0.008413843810558319,0.01870596595108509,0.039246546919457614,0.06818202789872885,0.08004676003474742
RN,30,V_REGIME_TREND,volatility,"{""hi"": 1, ""n"": 50}",X0,False,0,18,0.5555555555555556,8.353233539374234,0.03079646050350118,219.66666666666666,0.5543362848111428,3.195301268142815,6.6487735580501734,0.08882123231887817,0.6666666666666666,-0.03369475464569405,0.032772544102044776,0.061592920534571424,0.07636257698080075,-0.05435288842009109,0.0,0.01451106765307486,-0.03369475464569405,0.032772544102044776,-0.003603855235269293,0.21694443037267774,0.11899736383929849,0.07921546418219805,0.12919402454281226
SR,15,R_EXTREME,meanrev,"{""m"": 5, ""z"": 4.0}",X5,False,0,37,0.7567567567567568,4.07069015379513,0.002019189740379923,11.945945945945946,0.0747100199223496,3.1612189301305302,8.653495483486713,0.0063202474266290665,0.8888888888888888,-0.0019092083675786853,0.006838505272753537,0.008301113324705511,0.006533347698927969,0.03354515769206232,0.022257991950027645,0.004118674551136792,0.00424289470538497,0.014012480271048844,0.0054644583142362535,-0.0019092083675786853,0.00850052130408585,0.011183701921254396,0.006838505272753537
SR,60,R_BB,meanrev,"{""k"": 2.0, ""n"": 100}",X3,False,-1,30,0.6333333333333333,3.4617995014944274,0.004835093506764672,15.5,0.14505280638695695,3.152909426943429,7.491398145134542,0.015727134712506086,0.6666666666666666,-0.003312386281322688,0.009884257393423468,0.016116978487439662,0.021065734040570855,-0.04778498604805202,0.046063207322731614,0.057876924984157085,0.018745693552773446,-0.003312386281322688,0.009884257393423468,-0.001882695301901549,0.019650759466458112,0.0010662236891221255,-0.0030391784384846687
BR,1440,T_PRICE_MA,trend,"{""band"": 0.5, ""n"": 50}",X5,False,0,13,0.6153846153846154,7.510812347458256,0.0781955770731011,10.692307692307692,1.0165425063460134,3.1300443016311497,5.400195780523281,0.1676568917464465,0.6666666666666666,-0.08457205980084836,0.07567793229827657,0.11294916737177926,0.16386853884564476,-0.06258668064405132,0.026084760174853727,-0.018388759723166004,-0.0158050456084311,0.1020631161518395,0.07567793229827657,0.476460566977039,0.20113194780424237,-0.08457205980084836,0.2538900480722077
