group,family,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
meanrev,R_GAP_FADE,1296.0,204.0,0.5882352941176471,0.18137254901960784,0.20490462916299562,1.6595828967775204,2.2502146384301103,0.009162616879621055,0.0,5.437861297718113
volatility,V_REGIME_TREND,5184.0,3383.0,0.3511676027194798,0.09813774756133609,-0.5469731104867014,0.9882350699597096,2.915740085648238,-0.039660581678617746,0.0002955956251847473,-9.71991830376334
volatility,V_SQUEEZE,6912.0,4913.0,0.3388968043964991,0.09668227152452677,-0.5836092793451508,0.9767906220978674,3.330396686183097,-0.03223191463621333,0.0,-8.592840549318337
trend,T_EMA_X,14688.0,9147.0,0.2440144309609708,0.05444408002623811,-0.8965498387947719,0.6509695168088389,3.0013466239221307,-0.08977917254378553,0.0012025800809008418,-14.79231435706259
meanrev,R_EXTREME,10368.0,6197.0,0.2109085041148943,0.054058415362272065,-1.1236249079001457,0.6131105579812797,2.9574670409769626,-0.06837231802637689,0.005486525738260448,-12.515802088054247
trend,T_SUPERTREND,7776.0,4962.0,0.19185812172511085,0.03486497380088674,-1.1368297958242128,0.45672885343523034,3.234687969824609,-0.14974299861387408,0.0014107214832728737,-16.291189054646484
volume,U_VOL_BREAK,3456.0,2592.0,0.21643518518518517,0.040123456790123455,-1.1699639566285664,0.5467510447599032,2.3463324152532263,-0.12610513660183642,0.0,-13.409498765887575
trend,T_KELTNER,7776.0,5932.0,0.17498314227916387,0.025455158462575858,-1.196978520949279,0.3683035045094311,2.5497820604168075,-0.1384913555048115,0.0,-13.951795167594389
trend,T_DONCH,4320.0,3292.0,0.17466585662211423,0.028250303766707167,-1.2639383135513507,0.343076476650387,2.860952337619323,-0.14556235775671666,0.00030376670716889426,-15.395331402229145
meanrev,R_VOLSPIKE_FADE,2592.0,2554.0,0.15035238841033674,0.025841816758026624,-1.2836008232304534,0.29856125247857185,2.9618770862448893,-0.07613482694978302,0.0011746280344557558,-14.669327046907647
trend,T_MTF,6912.0,5012.0,0.20211492418196328,0.04209896249002394,-1.289180242418312,0.5377321029006623,3.1197853432210567,-0.1391758542667958,0.0,-12.207232397306225
trend,T_HMA,4320.0,3058.0,0.17364290385873118,0.029431000654022238,-1.3098654845437547,0.37532876438020907,3.193227338055354,-0.1979264622195842,0.0006540222367560497,-15.744413641342584
volatility,V_RANGE_EXP,5184.0,3367.0,0.1891891891891892,0.04425304425304425,-1.315908200382504,0.4818025301298117,3.455145121308918,-0.1717095728381537,0.000297000297000297,-15.92681205811343
momentum,M_TSMOM,15552.0,9710.0,0.16797116374871265,0.035118434603501544,-1.3660966446433145,0.36882316999142384,2.7645988874121534,-0.16119806764254463,0.00010298661174047374,-15.859581512873472
volume,U_OBV,1728.0,1187.0,0.17860151642796968,0.02780117944397641,-1.3871173403516006,0.3928009773958266,1.70142503206688,-0.20310490038536955,0.0,-14.213914175369458
trend,T_DONCH_STOP,4320.0,3454.0,0.1997683844817603,0.03532136653155762,-1.3888038178644289,0.4978697681349141,2.760837195370739,-0.18227149859376368,0.00028951939779965256,-14.825853248443066
trend,T_ADX,5184.0,3803.0,0.11569813305285301,0.012095713910070997,-1.5132966802303864,0.08429931544177449,2.2009337669419113,-0.13731786682910752,0.00026295030239284776,-17.783452823565703
meanrev,R_MA_DEV,7776.0,5953.0,0.10885267932135058,0.022677641525281372,-1.7788450070501172,0.06821070077842864,3.4917615732223948,-0.16858939609664958,0.0011758777087182933,-14.567550844981458
meanrev,R_BB,13824.0,9818.0,0.08728865349358321,0.015787329394988794,-1.8662370250800044,-0.1097864535058404,2.5647069785245518,-0.17345324901907588,0.0012222448563862294,-15.054075563874592
momentum,M_ROC_VOTE,6912.0,5289.0,0.12554358101720553,0.021743240688220835,-1.8712304935358703,0.17677222564525688,2.642175122113163,-0.22183863745522103,0.0,-14.00113762000792
volume,U_SIGNED_VOL,10368.0,7076.0,0.13369135104578858,0.029253815715093272,-1.881742381752347,0.22843972890755543,2.8197848725341332,-0.1970874021653799,0.001271905031091012,-14.619975848546648
trend,T_PRICE_MA,8640.0,7134.0,0.12797869358003924,0.02803476310625175,-1.951333520583765,0.18848244242468068,2.644076920926023,-0.23798619960143697,0.00014017381553125876,-14.71964489565889
intraday,I_ORB,1728.0,1728.0,0.10185185185185185,0.019097222222222224,-2.060649170651351,0.018364796327503694,2.984570764394371,-0.2218955681710213,0.0005787037037037037,-10.888068665317265
meanrev,R_VWAP,2592.0,2577.0,0.07334109429569266,0.015521924718665115,-2.1397895883660123,-0.23564301540380309,2.371729919152149,-0.1393364489194937,0.0015521924718665113,-17.738877752335664
meanrev,R_RSI,13824.0,10015.0,0.11862206689965052,0.0309535696455317,-2.3186257464955298,0.15532546154878984,2.6649375993623026,-0.2171602018061094,0.001198202695956066,-11.998375870614394
volatility,V_NR_BREAK,2592.0,1811.0,0.12147984538928769,0.034235229155162895,-2.3969169158041557,0.1453350127854289,2.9023154412836045,-0.3858554053858825,0.0011043622308117063,-14.836772575525437
meanrev,R_BB_LIMIT,7776.0,6404.0,0.06777014366021236,0.013429106808244847,-2.4677797845940495,-0.36792785938040345,2.6008833967320952,-0.3276313291717088,0.0021861336664584633,-13.01534220394834
volume,U_BAR_PRESSURE,3456.0,1948.0,0.12114989733059549,0.03490759753593429,-2.621413412082814,0.20334781079015493,2.7843039037086026,-0.17576677450779243,0.0,-16.788753790303407
intraday,I_PDAY_BRK,576.0,576.0,0.10416666666666667,0.017361111111111112,-2.639290402257095,0.007901166796370231,1.3893960123856623,-0.21450886771344813,0.0,-21.938000544618482
momentum,M_ACCEL,3456.0,2836.0,0.07898448519040903,0.01304654442877292,-2.686135612462607,-0.19840220716344126,2.4497964120569953,-0.35024653709206177,0.0007052186177715092,-14.317448753926772
seasonal,I_DOW,240.0,0.0,,,,,,,,
