code,configs,active,share_positive,share_sharpe_gt1,median_sharpe,p90_sharpe,best_sharpe,median_total,share_pmr_ge_08,median_avg_trade_bp
GD-PLZL,144.0,100.0,0.16,0.04,-0.7881752535721884,0.6828581870349186,1.7811694980968236,-0.05206300206191372,0.0,-7.395350257182836
BR-ROSN,144.0,108.0,0.2222222222222222,0.0,-0.7975164104218759,0.34099803899288744,0.6347128626040913,-0.08022634028020548,0.0,-15.104259352735463
MX-GAZP,144.0,104.0,0.25,0.1346153846153846,-1.2276078391736354,1.0502210701737145,1.9247296070759876,-0.03568007353896974,0.0,-5.413715499612627
BR-RN,144.0,108.0,0.07407407407407407,0.0,-1.3564292668972628,-0.10314635635609484,0.8709632093049845,-0.09621652011264814,0.0,-17.413141241926485
LKOH-ROSN,144.0,108.0,0.018518518518518517,0.0,-1.4716425078270305,-0.3246019952261291,0.1714550757407941,-0.07955747823871206,0.0,-8.326881214063839
MX-LKOH,144.0,100.0,0.15,0.0,-1.5532205398007637,0.2014248941066971,0.7036630798563858,-0.08157191348436754,0.0,-10.11019713577208
NVTK-GAZP,144.0,104.0,0.038461538461538464,0.0,-1.7918525907441762,-0.3232387416912848,0.0954041159106161,-0.07734880099019392,0.0,-7.371947968292678
SBER-VTBR,144.0,108.0,0.037037037037037035,0.0,-1.8350083019810948,-0.5273049825144822,0.7311731345484926,-0.09856409576605074,0.0,-10.732197813802998
MX-SBER,144.0,104.0,0.19230769230769232,0.019230769230769232,-1.8904475128862792,0.6918842867324095,1.06809173799685,-0.032620781502373575,0.0,-4.812455949050895
ROSN-TATN,144.0,104.0,0.0673076923076923,0.0,-2.0044608631112752,-0.1411175949991625,0.8081855327687508,-0.07416110052145086,0.0,-12.344505386239325
SR-MX,144.0,100.0,0.08,0.04,-2.4957977736234747,-0.05629306508684579,2.197487933644672,-0.054707752678496036,0.0,-7.310870881059649
GMKN-ALRS,144.0,100.0,0.0,0.0,-2.7052528917445677,-1.3258626916746177,-0.26994450898376476,-0.22730632469028933,0.0,-18.079233091046568
LKOH-TATN,144.0,94.0,0.0,0.0,-2.7829812710724013,-1.401936755333569,-0.7856751025684837,-0.15479782147303922,0.0,-18.707501009945403
RN,2016.0,1998.0,0.10510510510510511,0.025525525525525526,-2.911609925018863,0.05202810730167381,3.013705560966775,-0.24401930067961075,0.0015015015015015015,-8.844053854879148
BR,1728.0,1728.0,0.09085648148148148,0.022569444444444444,-3.0639629211390487,-0.07996212537050582,2.288209926472222,-0.46814257684525984,0.0005787037037037037,-11.699756795601242
GZ,2016.0,1979.0,0.05962607377463365,0.01212733703890854,-3.329906120538296,-0.4164370092734699,2.4750740996510774,-0.2527161206562596,0.0,-9.691425776710593
NVTK,2016.0,2009.0,0.06371329019412643,0.012941762070681932,-3.3729704364269395,-0.39128903623636646,2.472375947161987,-0.3442318881425308,0.0,-11.844012858817143
MX-RI,144.0,100.0,0.0,0.0,-3.6488761443042357,-1.0186741546105302,-0.27606167543880494,-0.10136375464662706,0.0,-14.604734355598794
RI,1728.0,1713.0,0.056625802685347344,0.014010507880910683,-3.7198050314550373,-0.437712974455054,1.9462908816590352,-0.29120647545641987,0.0,-10.203062991675026
GAZP,2016.0,1998.0,0.04054054054054054,0.0075075075075075074,-3.98747396112888,-0.8109333946809338,2.3482032548943255,-0.31170346700127993,0.0,-11.712831015464587
GD,1728.0,1728.0,0.031828703703703706,0.0028935185185185184,-4.001502824595876,-1.0026247164182451,1.456698776638518,-0.3365590061275725,0.0,-8.61842734532251
TATN,2016.0,2012.0,0.073558648111332,0.01143141153081511,-4.009784149748928,-0.3645763166200348,1.9342097852471134,-0.4230053819128443,0.0,-14.881099226831244
SR,1728.0,1650.0,0.03393939393939394,0.006060606060606061,-4.038728890224318,-0.6365682710498739,2.378870541349833,-0.1973518372997205,0.0,-8.820050044989017
ROSN,2016.0,2007.0,0.05281514698555057,0.01195814648729447,-4.179569984179952,-0.5639080642471427,2.6368194530935916,-0.36606444971585006,0.0004982561036372695,-12.94803034633805
VTBR,2016.0,2013.0,0.03825136612021858,0.004470938897168405,-4.20557836729732,-0.7193223426608526,2.1461951331976605,-0.3576535901520401,0.0,-11.731382485179102
LKOH,2016.0,2007.0,0.04932735426008968,0.012954658694569009,-4.264418482135751,-0.6656215401540407,2.2135014550426306,-0.3546797487651929,0.0,-12.325105602319043
PLZL,2016.0,2016.0,0.037698412698412696,0.006944444444444444,-4.277963456910172,-0.7879912373377624,1.8359728629942988,-0.40552950197434257,0.0,-12.562873896509892
GMKN,2016.0,2013.0,0.05265772478887233,0.014903129657228018,-4.42686773828947,-0.8492493861108326,2.4588495196873277,-0.42618624147235096,0.0004967709885742673,-14.483158121806838
MX,1728.0,1700.0,0.04823529411764706,0.01411764705882353,-4.457042830407653,-0.7177893958529449,2.671146794081186,-0.2544618309175348,0.0,-10.614517903854049
SBER,1728.0,1670.0,0.029940119760479042,0.003592814371257485,-4.854487695193008,-0.8890973180880112,2.134061131360768,-0.23000081057602983,0.0,-10.357232283074467
MGNT,2016.0,2014.0,0.06901688182720954,0.026812313803376366,-5.337579949335694,-0.4767053726916984,2.5778954111830648,-0.5090463369706413,0.0009930486593843098,-16.328291629104985
AFLT,2016.0,2012.0,0.024353876739562623,0.002485089463220676,-5.587850632395858,-1.0227970499571624,2.8543503366553127,-0.5128866946579365,0.0004970178926441351,-17.662422458376533
ALRS,2016.0,2014.0,0.04816285998013903,0.012909632571996028,-5.742166491257162,-0.7895538084584206,3.439918018514107,-0.6057125125225866,0.0014895729890764648,-20.429214553494415
Si,1728.0,1728.0,0.0028935185185185184,0.0,-5.8699660520952905,-2.1883611558749907,0.30066809853504256,-0.3340006465098213,0.0,-9.047677403801865
GAZP-GZ,144.0,96.0,0.0625,0.0,-6.096730419936607,-0.6815784170869225,0.4039821153886243,-0.05667211030845465,0.0,-5.036120988939995
Si-CR,144.0,88.0,0.045454545454545456,0.0,-6.151130158757578,-1.6035743792272683,0.7492704558534129,-0.05124448362175826,0.0,-7.434424373764289
CR,2016.0,1905.0,0.0068241469816272965,0.0031496062992125984,-6.457466222907917,-2.2349032296526055,1.8453246049805365,-0.3695320165732028,0.0,-11.267129708791865
SBER-SR,144.0,96.0,0.0,0.0,-7.779317395919437,-2.2718566270196385,-1.7685346150482653,-0.05962656967676594,0.0,-6.4578313016297075
ROSN-RN,144.0,92.0,0.0,0.0,-7.971955786164001,-3.370915128377407,-1.6171732886463934,-0.0862335601191262,0.0,-7.560377885034916
