family,tf,cls,configs,ic_mean,ic_pos_months,top_minus_bottom,ens_oos_mean,ens_pos_months,ens_202601,ens_202602,ens_202603,ens_202604,ens_202605,ens_202606
R_RSI,1,EQ,3456,0.9923120589248439,6,270.3233087231827,-103.10229067523221,0,-98.45423364511562,-90.39035426203344,-107.80978557213297,-107.992805140691,-102.2571468150945,-111.70941861632568
R_RSI,2,EQ,3456,0.9884080161732545,6,202.03846199958207,-73.60122044835559,0,-67.52711581108024,-63.734915974133926,-77.09463704456704,-77.90722182214286,-73.87757064596082,-81.46586139224873
U_SIGNED_VOL,1,EQ,2592,0.9818905092321205,6,128.9218475898282,-57.43538479495678,0,-51.70274700772368,-51.646302074560076,-57.36262837284272,-60.37532264674839,-59.74464149295719,-63.7806671749086
T_HMA,1,EQ,1080,0.981517553249439,6,122.26084607962106,-45.654851691159024,0,-43.90678684936579,-42.024512385440175,-45.130258469559124,-46.90608714388773,-47.06511907791352,-48.8963462207878
U_OBV,1,EQ,432,0.9810834220941764,6,95.83632080160753,-42.93708139150195,0,-39.18787284690939,-40.191935615153156,-42.4560096062025,-43.85176207284234,-44.43922756076639,-47.49568064713791
R_RSI,3,EQ,3456,0.9808638789104575,6,153.42934645932328,-53.774097517306565,0,-47.92482562952771,-45.52474373743397,-56.02105492222809,-56.962350590189466,-54.81109137669581,-61.400518847764346
R_RSI,1,FUT,5184,0.9789242190352763,6,99.9698472044221,-58.607131866979785,0,-56.66146694436669,-49.1874351430722,-63.99679083901468,-61.007896773732284,-58.55961626955792,-62.229585232134916
R_RSI,2,FUT,5184,0.9782919039856309,6,93.17790195616162,-44.85114740534991,0,-42.71616573928832,-38.39801410052997,-48.13971256253642,-46.656396580793114,-45.07728337013539,-48.11931207881625
V_RANGE_EXP,1,EQ,1296,0.9776736359298684,6,101.28318909680375,-40.0399468407675,0,-37.363550756671934,-35.9885508479683,-39.337647825849984,-41.513644428154414,-42.69519781689705,-43.34108936906328
M_ACCEL,1,EQ,864,0.9773669318317975,6,107.130392881882,-73.50382122217523,0,-75.59705014555483,-66.87432150563352,-70.69814492754533,-73.09273022696217,-76.15989579414257,-78.60078473321293
T_SUPERTREND,1,EQ,1944,0.9768763276718434,6,87.23325855770332,-42.424198725479606,0,-38.477850795936824,-39.66218009666864,-41.911168232450784,-44.20777231085752,-44.11894453893379,-46.16727637803005
