procedure,months,total,sharpe,pmr,m_min,m_mean,m_median,mdd,m202601,m202602,m202603,m202604,m202605,m202606
sharpe_k10_smooth,6,0.0731524047557856,0.8397715515423935,0.6666666666666666,-0.055632668215655885,0.012192067459297599,0.0035248083537258996,0.14459046399069014,0.0161,0.0037,-0.0556,-0.0008,0.0033,0.1064
sortino_k5,6,0.06321475024053796,0.599661029532259,0.5,-0.030359957266190812,0.010535791706756335,0.002196396701390861,0.15908848136519302,0.0046,0.0067,-0.019,-0.0002,-0.0304,0.1015
pmr_k1,6,0.030749935151662904,0.3360930954594067,0.6666666666666666,-0.0411987684464908,0.005124989191943816,0.013592329411399581,0.11850542966666075,0.0227,0.0461,-0.0412,0.0045,-0.0382,0.0369
sharpe_k10_daily,6,0.02476724790171879,0.259885150788686,0.6666666666666666,-0.06977441173817742,0.00412787465028647,0.006608839223083836,0.10109755448686836,0.0115,0.0286,-0.0698,0.0017,-0.0264,0.0791
sharpe_k10_lb3,6,-0.0034502804786691425,-0.027022042375817658,0.3333333333333333,-0.15841279955806542,-0.0005750467464448692,-0.012945137517504542,0.23971296021092242,-0.0164,0.0604,-0.1584,-0.0095,-0.0297,0.1501
score_k10_smooth,6,-0.00512287569665032,-0.0728644587401163,0.5,-0.04106169797398273,-0.0008538126161083851,0.004260931361564886,0.12355786930732009,0.0363,-0.0411,-0.0304,0.0209,0.0216,-0.0124
sharpe_k10_trend,6,-0.028244166946562538,-0.31196607376826874,0.3333333333333333,-0.03388832557836802,-0.004707361157760424,-0.014135999957805881,0.10091755940592018,-0.0339,-0.0099,0.0338,-0.0232,-0.0183,0.0233
sharpe_k10_vol,6,-0.07776936989502155,-0.6543036022888687,0.6666666666666666,-0.09910907656693027,-0.012961561649170256,0.012011133258789296,0.27208194603558583,0.031,0.0113,-0.0991,0.0128,-0.0806,0.0469
score_k10_intraday,6,-0.0782839242005329,-0.7539357849163771,0.5,-0.08520932376063858,-0.01304732070008882,-0.0068691081737950015,0.15885081987212965,0.0146,-0.0199,-0.0541,0.0601,-0.0852,0.0061
sortino_k10,6,-0.09360662212840269,-0.9542773092266201,0.16666666666666666,-0.035457753722727595,-0.015601103688067124,-0.014801398583879183,0.16383527945998316,-0.0055,-0.0001,-0.0355,0.0013,-0.0297,-0.0241
