procedure,months,total,sharpe,pmr,m_min,m_mean,m_median,mdd,m202601,m202602,m202603,m202604,m202605,m202606
sortino_k1,6,0.6456812309630167,2.257487790339289,0.8333333333333334,-0.0009471023282185825,0.1076135384938361,0.06071903169824783,0.15937143787681832,-0.0009,0.0058,0.056,0.2845,0.0654,0.2349
sharpe_k1,6,0.4550062069916456,1.6272532427418767,0.6666666666666666,-0.13282209566896933,0.07583436783194092,0.034711073782001445,0.23183893499484837,-0.0009,0.0058,-0.1328,0.2845,0.0636,0.2349
sharpe_k10_smooth,6,0.23587889348926486,1.2528168346501931,0.5,-0.036952081626509495,0.03931314891487747,0.0171531001799609,0.13778363522076845,-0.0179,-0.0254,-0.037,0.0522,0.0996,0.1644
calmar_k1,6,0.2989621618692262,1.232905629357282,0.6666666666666666,-0.038484154983638594,0.04982702697820437,0.030920918760066838,0.20149264859972554,-0.0385,0.0058,0.056,-0.0315,0.0654,0.2417
score_k10_daily,6,0.15926002616105958,0.8672889210748387,0.5,-0.0707383309028877,0.026543337693509927,0.004371458512110137,0.24989675357195035,-0.0567,-0.0419,-0.0707,0.1495,0.0506,0.1285
floor_k1,6,0.2122016087713666,0.7938064834942463,0.3333333333333333,-0.08636439899181207,0.035366934795227796,-0.0011407925106179705,0.3185521820441198,-0.0009,-0.0013,-0.0466,-0.0864,0.0541,0.2934
score_k10,6,0.14416324807694075,0.7705567046332759,0.5,-0.0707383309028877,0.02402720801282346,0.004371458512110137,0.2506513473858367,-0.0567,-0.0419,-0.0707,0.1344,0.0506,0.1285
score_k20,6,0.14416324807694075,0.7705567046332759,0.5,-0.0707383309028877,0.02402720801282346,0.004371458512110137,0.2506513473858367,-0.0567,-0.0419,-0.0707,0.1344,0.0506,0.1285
score_k10_h60,6,0.14416324807694075,0.7705567046332759,0.5,-0.0707383309028877,0.02402720801282346,0.004371458512110137,0.2506513473858367,-0.0567,-0.0419,-0.0707,0.1344,0.0506,0.1285
sharpe_k30_c05,6,0.15109733305551462,0.7611981654332751,0.5,-0.1925713846030096,0.02518288884258577,0.027416526443339133,0.2888750793055651,-0.0378,-0.0285,-0.1926,0.0834,0.1357,0.1909
score_k30_c05,6,0.11786436051131594,0.6825538340259972,0.5,-0.16429192455924474,0.019644060085219312,0.030001397011501656,0.3025705012055596,-0.0374,-0.0492,-0.1643,0.0974,0.1097,0.1616
floor_k5,6,0.1213120676021295,0.5996918599078084,0.5,-0.09659107718994159,0.020218677933688253,0.0016549977521500923,0.2552042755395584,-0.0114,-0.0388,-0.0966,0.0887,0.0147,0.1647
sharpe_k10_daily,6,0.12054539964493177,0.5990181309576147,0.5,-0.18113842752076012,0.020090899940821968,0.023950694607279714,0.3012636973365844,-0.0179,-0.0404,-0.1811,0.1265,0.0658,0.1677
calmar_k10,6,0.10220856514519787,0.5214979285157911,0.5,-0.07781078967779197,0.017034760857532978,-0.012789428114974969,0.24426083383144262,-0.0503,-0.0474,-0.0778,0.0218,0.0755,0.1804
calmar_k20,6,0.10220856514519787,0.5214979285157911,0.5,-0.07781078967779197,0.017034760857532978,-0.012789428114974969,0.24426083383144262,-0.0503,-0.0474,-0.0778,0.0218,0.0755,0.1804
sortino_k10,6,0.09939875090843778,0.4811326169157729,0.5,-0.18113842752076012,0.01656645848473962,0.014881222485242984,0.3258094433387585,-0.0366,-0.0393,-0.1811,0.1224,0.0663,0.1677
sortino_k20,6,0.09939875090843778,0.4811326169157729,0.5,-0.18113842752076012,0.01656645848473962,0.014881222485242984,0.3258094433387585,-0.0366,-0.0393,-0.1811,0.1224,0.0663,0.1677
pmr_k1,6,0.04859393016237537,0.43730896181273193,0.5,-0.0315442173271998,0.0080989883603959,0.00028249551908437164,0.1333877743534801,-0.0009,-0.0061,0.056,-0.0315,0.0297,0.0015
sharpe_k5,6,0.06485269358756968,0.34603733527004965,0.5,-0.23021863356641936,0.010808782264594937,0.011807246011047394,0.32629623682278713,-0.0162,-0.0034,-0.2302,0.027,0.1592,0.1285
calmar_k5,6,0.06398226468687489,0.32699521886379046,0.5,-0.06945853364518544,0.010663710781145815,-0.0023415921692962523,0.23378304127503363,-0.0419,-0.0067,-0.0695,0.027,0.002,0.153
sortino_k5,6,0.03479068910283275,0.1814812280785383,0.5,-0.23021863356641936,0.00579844818380545,0.013749771758423023,0.3697259886466608,-0.0509,-0.0232,-0.2302,0.0507,0.16,0.1285
score_k10_smooth,6,0.02888969458411378,0.16473779750039202,0.5,-0.10395483947855123,0.004814949097352294,0.007679835398624867,0.26320178128453436,-0.0567,-0.0245,-0.104,0.1065,0.0399,0.0677
sharpe_k20,6,0.015877715533531893,0.08575961129855822,0.5,-0.18113842752076012,0.002646285922255326,0.0019604808357191472,0.31073499068421767,-0.0179,-0.0404,-0.1811,0.0218,0.0658,0.1677
sharpe_k10,6,0.015877715533531893,0.08575961129855822,0.5,-0.18113842752076012,0.002646285922255326,0.0019604808357191472,0.31073499068421767,-0.0179,-0.0404,-0.1811,0.0218,0.0658,0.1677
sharpe_k10_h60,6,0.015877715533531893,0.08575961129855822,0.5,-0.18113842752076012,0.002646285922255326,0.0019604808357191472,0.31073499068421767,-0.0179,-0.0404,-0.1811,0.0218,0.0658,0.1677
score_k10_trend,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharpe_k10_trend,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score_k10_mr,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharpe_k10_fut,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharpe_k10_vol,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharpe_k10_intraday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharpe_k10_eq,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score_k10_vol,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score_k10_intraday,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score_k10_eq,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
score_k10_fut,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharpe_k10_mr,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floor_k10,6,-0.003033103081644589,-0.01582514050360638,0.5,-0.11057331552360501,-0.0005055171802741282,0.00454900615508861,0.23672022980600754,-0.0199,-0.0423,-0.1106,0.0694,0.029,0.0713
floor_k20,6,-0.003033103081644589,-0.01582514050360638,0.5,-0.11057331552360501,-0.0005055171802741282,0.00454900615508861,0.23672022980600754,-0.0199,-0.0423,-0.1106,0.0694,0.029,0.0713
score_k5,6,-0.05082086387528781,-0.3050700772982632,0.3333333333333333,-0.07155104608434978,-0.00847014397921464,-0.03219597519011945,0.28628198486775547,-0.044,-0.0204,-0.0716,-0.0694,0.0188,0.1357
score_k1,6,-0.031925525152239315,-0.3088516761127639,0.5,-0.03966893050910025,-0.00532092085870655,-0.002312564124418368,0.11637396281664404,-0.0397,-0.0061,0.0205,-0.0315,0.0234,0.0015
pmr_k10,6,-0.06843084054077564,-0.48054511768888847,0.5,-0.16832138602362917,-0.011405140090129268,-0.002609436378738451,0.29474422218532065,-0.0168,-0.0378,-0.1683,0.0409,0.0116,0.102
pmr_k20,6,-0.06843084054077564,-0.48054511768888847,0.5,-0.16832138602362917,-0.011405140090129268,-0.002609436378738451,0.29474422218532065,-0.0168,-0.0378,-0.1683,0.0409,0.0116,0.102
score_k10_lb3,6,-0.11803062709552764,-0.77135322131965,0.3333333333333333,-0.21247505040979708,-0.019671771182587946,-0.02434103498881482,0.3412127451803279,-0.0567,-0.0406,-0.2125,0.1225,-0.0081,0.0774
pmr_k5,6,-0.12173597209257023,-0.9355578024822414,0.5,-0.1651645308479277,-0.020289328682095032,-0.00804621093386301,0.3266589366763738,-0.0337,0.0176,-0.1652,-0.0461,0.048,0.0576
sharpe_k10_lb3,6,-0.15554047893711803,-0.9778583468107973,0.3333333333333333,-0.2284071581916724,-0.025923413156186348,-0.025233133755447352,0.32880189741172006,-0.0179,-0.0373,-0.2284,0.0546,-0.0326,0.106
score_k10_pmr08,6,-0.2506397052884741,-2.1843969618643317,0.0,-0.09505189201028627,-0.04177328421474569,-0.03406627420851198,0.2898839549542343,-0.062,-0.0061,-0.0875,-0.0951,0.0,0.0
sharpe_k10_pmr08,6,-0.24881578207494162,-2.3474736452742255,0.0,-0.12363351785767891,-0.04146929701249027,-0.01922581016903224,0.3135328268537979,-0.0323,-0.0061,-0.1236,-0.0867,0.0,0.0
